13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,下総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
単勝:180円 複勝:09=120円 16=290円 06=340円 枠連:900円,,,,,,,,,,,,"単勝:2,060円 複勝:02=610円 03=230円 15=300円 枠連:1,150円",,,,,,,,,,,,単勝:290円 複勝:07=150円 05=270円 08=650円 枠連:880円,,,,,,,,,,,,単勝:340円 複勝:05=160円 02=220円 15=730円 枠連:880円,,,,,,,,,,,
"馬連:1,360円 ワイド:09-16=560円 06-09=650円 06-16=1,940円",,,,,,,,,,,,"馬連:4,850円 ワイド:02-03=1,360円 02-15=2,910円 03-15=1,230円",,,,,,,,,,,,"馬連:1,220円 ワイド:05-07=550円 07-08=1,230円 05-08=3,130円",,,,,,,,,,,,"馬連:1,090円 ワイド:02-05=440円 05-15=1,930円 02-15=2,410円",,,,,,,,,,,
"馬単:2,010円 3連複:5,890円 3連単:17,720円",,,,,,,,,,,,"馬単:11,530円 3連複:21,260円 3連単:137,170円",,,,,,,,,,,,"馬単:2,080円 3連複:11,990円 3連単:42,290円",,,,,,,,,,,,"馬単:1,810円 3連複:8,760円 3連単:29,470円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■12R  ダ1200m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,館山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅアイネクライネ, 54,デムｰ,, 62,  -7,*  8, 3,  5.5, ⑥④, 1, 4,Ｄバロンドゥフォｰル, 63,蛯名正,, 71,  -7,  12, 1,  2.6,⑤⑥⑥, 1, 2,Ｄエクセリオン, 78,北村宏,, 80,   1,*  9, 5, 13.1,④④⑤, 1,15,Ｄウッドシップ, 79,横山典,, 70, -11,  16, 2,  4.7, ③②
 2,15,Ｃタマノエスペランサ, 55,中谷雄, 0.0, 60, -10,* 11, 6, 18.0, ⑨⑨, 2,12,Ｂインプロヴァイズ, 64,石橋脩, 0.1, 73, -11,* 17, 4,  5.8,⑫⑨⑧, 2, 6,Ａマイネルシュライ, 79,柴田大, 0.1, 79,   0,   6, 2,  2.5,③③①, 2, 2,Ｅヘアｰオブザドッグ, 78,北村宏, 0.0, 71, -18,* 23, 6, 12.2, ⑭⑫
