13年10月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,
単勝:170円 複勝:08=110円 11=390円 01=180円 枠連:710円,,,,,,,,,,,,"単勝:340円 複勝:06=170円 03=540円 12=400円 枠連:2,940円",,,,,,,,,,,,"単勝:1,260円 複勝:08=230円 02=130円 07=120円 枠連:780円",,,,,,,,,,,,"単勝:240円 複勝:09=150円 12=750円 04=1,260円 枠連:2,490円",,,,,,,,,,,
"馬連:1,950円 ワイド:08-11=610円 01-08=300円 01-11=1,480円",,,,,,,,,,,,"馬連:4,700円 ワイド:03-06=1,340円 06-12=880円 03-12=2,660円",,,,,,,,,,,,"馬連:1,620円 ワイド:02-08=520円 07-08=440円 02-07=150円",,,,,,,,,,,,"馬連:3,930円 ワイド:09-12=1,600円 04-09=3,190円 04-12=21,980円",,,,,,,,,,,
"馬単:2,380円 3連複:2,850円 3連単:11,660円",,,,,,,,,,,,"馬単:7,920円 3連複:14,280円 3連単:79,980円",,,,,,,,,,,,"馬単:4,720円 3連複:1,020円 3連単:12,500円",,,,,,,,,,,,"馬単:5,930円 3連複:74,840円 3連単:250,420円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 6R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,いちょうｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｆヒカルブルｰビｰ, 42,吉田豊,, 51,* -2,  -9, 3,  5.8, ②②, 1, 6,Ｅビッグバンドジャズ, 71,北村宏,, 73,  -1,* 23, 1,  3.3,⑥⑥⑥, 1, 2,Ａイスラボニｰタ, 71,蛯名正,, 77,  -7,* 12, 3,  4.4,⑤④④, 1,12,Ｅシンボリエンパイア, 78,後藤浩,, 81,*  7,  14, 1,  3.5, ②②
