13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■10R  ダ2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,鳥取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-2),,,,,,,,,,,
"単勝:250円 複勝:02=130円 11=4,090円 01=170円 枠連:6,030円",,,,,,,,,,,,単勝:310円 複勝:01=130円 12=150円 09=300円 枠連:410円,,,,,,,,,,,,単勝:410円 複勝:04=170円 09=140円 05=530円 枠連:570円,,,,,,,,,,,,単勝:180円 複勝:07=110円 04=200円 02=150円 枠連:660円,,,,,,,,,,,
"馬連:36,000円 ワイド:02-11=9,410円 01-02=290円 01-11=12,570円",,,,,,,,,,,,馬連:600円 ワイド:01-12=270円 01-09=620円 09-12=660円,,,,,,,,,,,,"馬連:910円 ワイド:04-09=360円 04-05=940円 05-09=1,190円",,,,,,,,,,,,馬連:730円 ワイド:04-07=320円 02-07=260円 02-04=530円,,,,,,,,,,,
"馬単:47,540円 3連複:41,140円 3連単:344,940円",,,,,,,,,,,,"馬単:1,110円 3連複:1,840円 3連単:6,920円",,,,,,,,,,,,"馬単:1,790円 3連複:5,440円 3連単:27,250円",,,,,,,,,,,,"馬単:950円 3連複:1,170円 3連単:3,160円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,南港特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａサンライズマｰチ, 66,福永祐,, 66,  -2,*  7, 1,  1.3, ⑨⑨, 1, 3,Ｎステイウェル, 39,水口優,, 74,*  4,*  4, 8, 33.6, ①①, 1, 7,Ｌタガノルミナｰレ, 65,北村友,, 77,* 14,  -8, 9, 25.8, ③⑤, 1, 5,Ｋミラクルルｰマｰ, 67,幸英明,, 76,* 11,   0, 5, 12.6, ③③
