11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,18, 9,Ｌベッラフィｰリア, 60,松山弘, 1.6, 50,  -2, -15,16,111.5, ⑧⑫,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,
単勝:140円 複勝:04=100円 09=130円 08=170円 枠連:260円,,,,,,,,,,,,単勝:300円 複勝:08=140円 03=280円 01=140円 枠連:0円,,,,,,,,,,,,"単勝:490円 複勝:17=160円 11=600円 16=210円 枠連:1,360円",,,,,,,,,,,,"単勝:1,970円 複勝:10=450円 14=600円 03=150円 枠連:5,810円",,,,,,,,,,,
馬連:270円 ワイド:04-09=150円 04-08=230円 08-09=350円,,,,,,,,,,,,"馬連:2,070円 ワイド:03-08=600円 01-08=180円 01-03=620円",,,,,,,,,,,,"馬連:7,920円 ワイド:11-17=2,090円 16-17=500円 11-16=3,070円",,,,,,,,,,,,"馬連:19,100円 ワイド:10-14=4,200円 03-10=1,140円 03-14=1,400円",,,,,,,,,,,
"馬単:380円 3連複:640円 3連単:1,440円",,,,,,,,,,,,"馬単:3,250円 3連複:1,630円 3連単:9,970円",,,,,,,,,,,,"馬単:11,340円 3連複:12,270円 3連単:82,890円",,,,,,,,,,,,"馬単:40,890円 3連複:16,620円 3連単:179,710円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  芝1200m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紫川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａコマンドパワｰ, 65,中舘英,, 54,*  0,  -2, 1,  2.7,③③②, 1,11,Ａショウナンタイリン, 73,中舘英,, 69,*  0,   6, 1,  1.8, ②②, 1, 7,Ｂラムタムタガｰ, 74,浜中俊,, 73,* -5,  20, 1,  2.8,②②①, 1,14,Ｍグレナディｰン, 72,リスポ,, 77,   3,   7, 1,  3.6, ⑤⑤
 2,12,Ｄダノンマックイン, 55,上村洋, 0.3, 53,  -2,  -2, 2,  3.9,⑤④③, 2, 5,Ｇプリンセスエリｰ, 64,赤木高, 0.0, 68,*  1,   5, 6, 15.9, ①①, 2, 3,Ａシゲルアサマヤマ, 74,西村太, 0.3, 72,  -9,  22, 3,  5.8,⑥⑨⑨, 2, 3,Ａヤマニングルノイユ, 84,西田雄, 0.1, 76,*  7,   2, 2,  4.5, ①①
