11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
"単勝:10,460円 複勝:03=1,740円 11=200円 13=170円 枠連:6,500円",,,,,,,,,,,,単勝:400円 複勝:11=140円 07=170円 08=120円 枠連:280円,,,,,,,,,,,,単勝:770円 複勝:08=230円 03=390円 11=510円 枠連:660円,,,,,,,,,,,,単勝:200円 複勝:02=110円 06=170円 11=280円 枠連:570円,,,,,,,,,,,
"馬連:21,480円 ワイド:03-11=6,060円 03-13=4,450円 11-13=420円",,,,,,,,,,,,"馬連:1,780円 ワイド:07-11=480円 08-11=190円 07-08=330円",,,,,,,,,,,,"馬連:4,510円 ワイド:03-08=1,800円 08-11=1,640円 03-11=2,720円",,,,,,,,,,,,馬連:560円 ワイド:02-06=260円 02-11=550円 06-11=820円,,,,,,,,,,,
"馬単:66,300円 3連複:22,400円 3連単:317,790円",,,,,,,,,,,,"馬単:3,090円 3連複:1,010円 3連単:6,390円",,,,,,,,,,,,"馬単:10,450円 3連複:18,360円 3連単:100,740円",,,,,,,,,,,,"馬単:880円 3連複:1,870円 3連単:5,210円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1700m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早鞆特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｑアンゲネｰム, 32,浜中俊,, 60,   1,  -1,12, 46.7, ⑥⑤, 1,12,Ｃコウエイフラッシュ, 71,川島信,, 76,*  6,  11, 3,  5.6, ②②, 1, 9,Ｆエｰシンアルカウス, 69,田辺裕,, 70,  -2,* 16, 3,  6.6,⑥④④, 1,10,Ｄアｰクビスティｰ, 79,丸山元,, 79,  11,   8, 2,  4.5,⑩⑦③
 2, 2,Ｉトミケンアマｰト, 50,高倉稜, 0.0, 61,*  8,  -7, 9, 27.5, ①①, 2,10,Ａエイシンアマデウス, 77,田辺裕, 0.2, 73,   2,* 12, 1,  2.5, ⑥⑤, 2, 4,Ｂモルフェキング, 76,中舘英, 0.1, 68,* -2,  13, 2,  4.0,②②②, 2, 2,Ｃコスモナダル, 80,丹内祐, 0.0, 83,   8,* 14, 5, 10.4,⑪⑬⑩
