11年10月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:4),,,,,,,,,,,
"単勝:350円 複勝:09=170円 10=470円 08=1,830円 枠連:1,400円",,,,,,,,,,,,"単勝:1,300円 複勝:03=360円 08=180円 04=320円 枠連:3,330円",,,,,,,,,,,,単勝:330円 複勝:01=150円 02=150円 05=220円 枠連:820円,,,,,,,,,,,,単勝:150円 複勝:09=110円 04=220円 07=600円 枠連:750円,,,,,,,,,,,
"馬連:2,140円 ワイド:09-10=860円 08-09=3,150円 08-10=8,500円",,,,,,,,,,,,"馬連:2,760円 ワイド:03-08=920円 03-04=1,540円 04-08=820円",,,,,,,,,,,,馬連:840円 ワイド:01-02=380円 01-05=600円 02-05=650円,,,,,,,,,,,,"馬連:790円 ワイド:04-09=340円 07-09=920円 04-07=2,370円",,,,,,,,,,,
"馬単:2,900円 3連複:32,960円 3連単:100,400円",,,,,,,,,,,,"馬単:6,520円 3連複:8,210円 3連単:58,400円",,,,,,,,,,,,"馬単:1,590円 3連複:2,180円 3連単:9,060円",,,,,,,,,,,,"馬単:890円 3連複:5,340円 3連単:13,080円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 9R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  芝1400m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,東京ﾊｲｼﾞｬﾝﾌﾟ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂフェスティヴタロｰ, 66,田中勝,, 59,*  2,  -3, 3,  5.2, ①①, 1, 6,Ａジャｰグラット, 72,柴田善,, 70,   1,* 11, 1,  1.5, ⑤⑤, 1,14, マジェスティバイオ,,柴田大,,,,, 2,  4.3,⑩⑩⑦, 1,10,Ｋカトルズリップス, 62,後藤浩,, 82,* 18,  -2, 3,  6.2, ①①
 2, 5,Ｄマイネルスパイス, 57,松岡正, 0.1, 61,  -2,*  2, 1,  2.7, ⑤⑤, 2, 2,Ｃバイナリｰスタｰ, 68,吉田豊, 0.2, 65,*  5,   2, 2,  6.3, ①①, 2, 7, ワシャモノタリン,,中村将,222.7,,,, 7, 27.6,⑨⑥⑥, 2, 6,Ｈウインドジャズ, 68,大庭和, 0.1, 83,   8,  10, 5,  9.0, ④④
 3, 2,Ａショウナンラピス, 67,後藤浩, 0.7, 51,  -4,  -4, 2,  4.3, ⑦⑦, 3, 8,Ｂニシノフェミニン, 70,蛯名正, 0.3, 66,   0,*  8, 3,  8.0, ⑥⑥, 3, 6, マサノブルｰス,,佐久間,222.7,,,, 9, 38.2,⑥③①, 3, 9,Ｅポｰルアックス, 74,北村宏, 0.4, 79,   3,  14, 2,  5.4, ⑧⑧
 4, 9,Ｈトｰセンネフティス, 38,武士沢, 0.8, 49,  -4,  -6, 8, 23.8, ⑧⑧, 4,10,Ｅダノンゲットウィン, 65,田中勝, 0.5, 65,   2,   4, 5, 14.4, ③③, 4, 5, クランエンブレム,,山本康,223.0,,,, 3,  5.0,⑧⑤②, 4, 3,Ｇオメガブルｰライン, 69,三浦皇, 0.5, 79,   5,  10, 7, 15.4, ⑥⑥
 5, 7,Ｃモントリヒト, 62,北村宏, 0.8, 50,  -1, -11, 5,  7.1, ④③, 5, 3,Ｈトウカイギアｰ, 57,武士沢, 1.2, 59,  -1,   2, 7, 33.6, ⑨⑨, 5, 1, バイヨン,,穂苅寿,223.5,,,, 6, 21.5,⑪⑪⑩, 5,11,Ｃロｰレルエルヴェル, 77,小林淳, 0.6, 77,   1,  14,10, 42.1, ⑩⑩
 6, 6,Ｆルナ, 51,横山典, 1.1, 45,*  0, -17, 4,  6.8, ②②, 6, 1,Ｇトｰアティアレ, 61,江田照, 1.4, 58,  -1,   1, 9,104.4, ⑧⑧, 6, 4, テイエムハリアｰ,,白浜雄,223.6,,,, 4,  7.2,①②③, 6, 1,Ｆアイスカｰビング, 70,石橋脩, 0.7, 77,  -2,* 16, 8, 16.0, ⑪⑪
 7, 4,Ｉイｰサンジョｰカｰ, 27,蛯名正, 1.9, 38,  -2, -23, 7, 23.3, ⑥⑥, 7,11,Ｆメルトアウェイ, 64,後藤浩, 1.6, 56,   0,  -3, 4,  8.5, ⑦⑦, 7,11, クリｰバレン,,石神深,223.6,,,, 5, 12.7,⑦④⑤, 7, 4,Ａヴンダｰゾンネ, 77,嶋田純, 0.7, 73,* 14,  -7, 6, 15.2, ②②
 8, 1,Ｅゲンパチメジャｰ, 53,石橋脩, 2.0, 36,  -1, -27, 6, 15.9, ③④, 8, 5,Ｉプランシングレディ, 56,石橋脩, 2.1, 52,  -9,   4,10,104.7, ⑪⑪, 8,10, ディアマジェスティ,,高田潤,224.5,,,, 1,  2.6,④①④, 8, 8,Ｂパｰプルタイヨｰ, 77,蛯名正, 0.8, 76,   5,   6, 1,  2.6, ⑦⑦
 9, 8,Ｇサロンドクイｰン, 46,嶋田純, 2.0, 36,  -7, -19, 9, 46.5, ⑨⑨, 9, 4,Ｋバトルデｰオ, 54,嶋田純, 2.6, 48,   1, -13, 8, 47.6, ④④, 9, 8, モルフェサイレンス,,大江原,225.0,,,,14, 95.5,⑫⑫⑪, 9, 7,Ｉショウナンダンク, 66,ピンナ, 1.0, 71,  12,  -7, 9, 17.4, ③③
,,,,,,,,,,,,10, 9,Ｊクリｰルマグナム, 55,柴田大, 2.7, 48,  -2, -10,11,223.9, ⑩⑩,10, 3, シゲルダイセン,,植野貴,226.4,,,, 8, 32.6,⑬⑬⑬,10, 2,Ｊインテグラルヘッド, 63,柴田善, 1.1, 72,   1,   7,11, 62.0, ⑨⑨
,,,,,,,,,,,,11, 7,Ｄカインドオブブルｰ, 66,三浦皇, 2.9, 46,*  4, -20, 6, 27.6, ②②,11,13, エｰシンディｰエス,,横山義,227.4,,,,12, 56.1,⑤⑧⑨,11, 5,Ｄトキノエクセレント, 75,田中勝, 1.4, 67,   7,  -4, 4,  8.6, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,12, 9, ショウナンサミット,,大庭和,228.2,,,,11, 51.8,③⑦⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,12, モエレエキスパｰト,,浜野谷,232.0,,,,10, 41.7,②⑨⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
