09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1400m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,初夢ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"単勝:720円 複勝:11=400円 01=370円 07=2,220円 枠連:2,780円",,,,,,,,,,,,"単勝:2,230円 複勝:14=320円 01=150円 06=110円 枠連:4,190円",,,,,,,,,,,,"単勝:340円 複勝:11=130円 04=470円 03=140円 枠連:3,160円",,,,,,,,,,,,"単勝:1,380円 複勝:08=390円 02=250円 05=210円 枠連:740円",,,,,,,,,,,
"馬連:2,240円 ワイド:01-11=550円 07-11=2,940円 01-07=2,140円",,,,,,,,,,,,"馬連:4,230円 ワイド:01-14=1,060円 06-14=490円 01-06=190円",,,,,,,,,,,,"馬連:3,250円 ワイド:04-11=1,000円 03-11=240円 03-04=1,080円",,,,,,,,,,,,"馬連:4,090円 ワイド:02-08=1,310円 05-08=1,340円 02-05=690円",,,,,,,,,,,
"馬単:5,260円 3連複:20,320円 3連単:99,450円",,,,,,,,,,,,"馬単:11,450円 3連複:1,900円 3連単:26,560円",,,,,,,,,,,,"馬単:4,720円 3連複:3,210円 3連単:23,310円",,,,,,,,,,,,"馬単:10,130円 3連複:5,940円 3連単:43,690円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 9R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,福寿草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, マルブツデヒア,---,安藤勝,, 66,   1,*  3, 1,  1.7,④③③, 1,13,Ｃアドマイヤダンク, 79,福永祐,, 77,*  9,* 14, 2,  3.3,④④④, 1, 3,Ａリクエストソング, 73,後藤浩,, 78,  -4,* 15, 2,  4.0,⑥⑥⑦, 1, 9,Ｅアヴェンティｰノ, 74,浜中俊,, 82,  14,* -4, 1,  3.5,⑥⑥⑥
 2, 6, アｰスワンハｰト,---,小牧太, 0.2, 65,*  2,  -3, 3,  7.9,②②②, 2, 5,Ｅジョｰモルデュｰ, 74,池添謙, 0.2, 76,   9,* 15, 3,  5.6,⑦⑦⑥, 2, 4,Ｈヤマニンウイスカｰ, 62,幸英明, 0.0, 80,  -4,* 16, 3,  8.1,⑨⑦⑥, 2, 5,Ｆマルカハンニバル, 72,角田晃, 0.0, 80,  18, -14, 3,  3.7,③③②
 3, 1, マスタｰソニック,---,藤岡康, 1.0, 59,  -1,  -3, 4,  8.3,③④④, 3, 2,Ｂシャインモｰメント, 81,安藤勝, 0.5, 73,   7,* 15, 1,  1.9,⑪⑨⑨, 3, 9,Ｆコパノカミ, 63,藤岡佑, 0.2, 70,*  0,   2, 6, 17.1,②①①, 3, 7,Ａワキノパワｰ, 79,佐藤哲, 0.3, 77,  16, -11, 2,  3.6,④④④
 4, 2, ナリタライトニング,---,武幸四, 1.7, 55,  -2,  -7, 6, 18.0,⑤⑤⑤, 4, 7,Ｈクロニクル, 71,川田将, 0.7, 73,   9,  10, 8, 57.6,⑥⑥⑤, 4, 1,Ｃプロスアンドコンズ, 67,福永祐, 0.4, 77,  -5,* 15, 1,  1.8,⑦⑨⑨, 4, 3,Ｄマンノレｰシング, 74,金折知, 0.4, 76,  13,  -7, 9, 36.1,⑦⑦⑦
 5, 4, デンコウゼファｰ,---,小林徹, 2.1, 56,  -4,  -5, 8, 43.6,⑥⑧⑦, 5, 9,Ｍマイネソシオ, 64,小牧太, 0.7, 75,   8,  13, 9, 75.1,⑧⑧⑧, 5, 7,Ｇトモロポケット, 63,藤田伸, 0.4, 71,  -3,   6, 5, 14.9,⑤③②, 5,10,Ｂスプリングダボス, 79,田村太, 0.5, 74,  15, -14, 6, 16.5,⑤⑤⑤
