09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,内外ﾀｲﾑｽ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
単勝:140円 複勝:05=110円 02=110円 04=160円 枠連:210円,,,,,,,,,,,,"単勝:1,100円 複勝:09=220円 15=120円 03=200円 枠連:950円",,,,,,,,,,,,"単勝:370円 複勝:14=170円 01=710円 11=360円 枠連:2,600円",,,,,,,,,,,,"単勝:360円 複勝:02=160円 05=230円 06=150円 枠連:1,550円",,,,,,,,,,,
馬連:200円 ワイド:02-05=120円 04-05=220円 02-04=330円,,,,,,,,,,,,"馬連:1,000円 ワイド:09-15=390円 03-09=680円 03-15=340円",,,,,,,,,,,,"馬連:3,910円 ワイド:01-14=1,360円 11-14=730円 01-11=2,640円",,,,,,,,,,,,"馬連:1,600円 ワイド:02-05=630円 02-06=330円 05-06=640円",,,,,,,,,,,
馬単:290円 3連複:360円 3連単:840円,,,,,,,,,,,,"馬単:2,890円 3連複:1,760円 3連単:15,290円",,,,,,,,,,,,"馬単:6,640円 3連複:12,060円 3連単:63,540円",,,,,,,,,,,,"馬単:2,960円 3連複:2,110円 3連単:13,200円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2500m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,潮来特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａピｰクヴェロシティ, 66,内田博,, 66,*  0,*  5, 1,  2.0, ②②, 1,11, デリキットピｰス,---,柴田善,, 61,* -7,   3, 6, 15.0,③④④, 1, 1,Ｉムｰンレスナイト, 73,北村宏,, 77,* 22, -16, 6, 14.7,①①①, 1, 1,Ｇキモンホワイト, 78,川田将,, 78,* 11,   6, 7, 13.3,①①①
 2, 4,Ｆヴェリｰハｰド, 55,武士沢, 0.7, 59,  -6,*  5, 7, 39.7, ⑩⑨, 2,13, オルトリンデ,---,吉田隼, 0.6, 52,* -6, -10, 5, 10.1,②②②, 2, 7,Ｅマイネルファｰマ, 75,吉田隼, 0.4, 79,  14,*  4, 4,  6.3,⑥⑦⑦, 2,13,Ｈトウカイプライム, 78,内田博, 0.0, 78,* 11,*  7, 2,  4.2,④⑤③
 3,14, マルタｰズデライト,---,後藤浩, 0.8, 57,  -2,   0, 2,  3.8, ⑥④, 3, 1, ヒシパｰフェクト,---,蛯名正, 0.8, 55, -10,  -2, 2,  4.3,⑫⑨⑨, 3, 3,Ｃベストオｰカン, 76,大野拓, 0.5, 77,  13,*  4, 9, 47.8,⑧⑥④, 3, 7,Ｄシルクスタｰシップ, 81,大野拓, 0.1, 77,* 11,   5, 6, 11.7,②②②
 4,13,Ｅサクラスティンガｰ, 55,小野次, 0.9, 58,  -5,   2, 8, 48.2, ⑨⑧, 4, 6, ザクリエイション,---,横山典, 0.8, 51, -10,  -2, 1,  2.5,⑥⑥⑥, 4, 5,Ｌロックザキャスバ, 69,柴田善, 0.6, 76,  17,  -8, 8, 29.0,③③③, 4,11,Ｃロｰンウルフ, 81,岩田康, 0.1, 78,  10,*  9, 1,  3.1,⑧⑧⑤
