09年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,桜島特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, ミヤジレオン,,出津孝,,,,, 4,  7.2,①①①, 1,10,Ｆネオイユドゥレｰヌ, 61,太宰啓,, 61,  -6,   0, 4, 10.7,⑥⑤⑥, 1, 1,Ｂタｰトルベイ, 87,浜中俊,, 82,   9,* 12, 5, 12.7,⑩⑩⑧, 1, 9,Ｆサバｰス, 67,福永祐,, 76,  -8,* 18, 2,  3.6,⑥⑤②
 2, 5, ダイゴフウジン,,林満明,193.5,,,, 2,  4.1,②③③, 2,11,Ｈスｰパｰオｰビット, 59,藤岡康, 0.2, 59,  -8,   1, 5, 14.5,⑦⑦⑧, 2, 2,Ａスタッドジェルラン, 89,武豊  , 0.3, 79,* 14,   3, 1,  1.8,③③⑤, 2, 4,Ｅロｰザブランカ, 68,角田晃, 0.1, 77,  -9,* 19, 3,  5.7,⑩⑧③
 3, 2, オｰトホｰク,,今村康,193.7,,,, 8, 47.6,⑤⑤⑤, 3,14,Ｅアグネスセブン, 62,福永祐, 0.2, 58,* -5,  -4, 1,  1.6,④④③, 3, 7,Ｃプロフェッショナル, 86,福永祐, 0.3, 80,  12,   5, 2,  3.1,⑨⑥⑥, 3,12,Ｇエイシンチョｰテン, 66,松山弘, 0.4, 68,* -5,   7, 4,  9.5,①①①
 4, 7, トウカイフラッグ,,北沢伸,193.8,,,, 6, 10.8,⑥④④, 4,15,Ｇルナフライト, 61,石橋守, 0.2, 58,  -7,  -3, 6, 16.3,⑤⑥⑤, 4,10,Ｆタガノアッシュ, 79,赤木高, 0.7, 76,* 14,  -1, 6, 31.8,②②②, 4, 1,Ｃサワノパンサｰ, 68,武豊  , 0.6, 67,  -8,   9, 1,  1.9,③④⑤
 5, 1, ラインストｰム,,西谷誠,193.9,,,, 1,  2.5,④⑦⑥, 5, 2,Ｊニホンピロリｰベル, 53,酒井学, 0.4, 59,  -9,*  2,10, 50.4,⑫⑭⑪, 5, 4,Ｉアグネスハッピｰ, 75,鮫島良, 1.0, 75,  10,   2, 9,183.3,⑦⑧⑦, 5,11,Ｄホウライブライアン, 68,和田竜, 0.6, 69,  -9,  12, 5, 21.7,⑦⑥⑧
 6,10, スリｰプレアデス,,高野容,194.0,,,, 3,  6.0,⑧⑥⑦, 6, 5,Ａメイショウケンロク, 63,高橋亮, 0.4, 57,  -8,  -1, 3, 10.4,⑬⑩⑨, 6, 5,Ｈレｰスドｰル, 76,上村洋, 1.0, 74,  13,  -2, 4, 12.1,④④③, 6,10,Ａマルカレガｰト, 70,浜中俊, 0.7, 70,  -9,  12, 6, 23.4,⑧⑨⑨
 7,11, キシリトｰル,,小坂忠,194.8,,,, 7, 20.7,③②②, 7, 4,Ｋスペｰスオｰバｰ, 49,高野容, 0.5, 52,* -3, -12,15,218.9,①①①, 7, 9,Ｇスプリングサンテ, 77,和田竜, 1.1, 75,  10,   2, 8, 61.3,⑧⑨⑨, 7, 5,Ｂアグネスフリｰダム, 70,上村洋, 0.7, 68,  -9,  11, 8, 44.1,⑤⑦⑦
