09年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,朝日ﾁｬﾚﾝｼﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 3R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  ダ2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,鳥取特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, ナリタスプリング,---,福永祐,, 67,   1,*  2, 5, 10.1, ⑤④, 1, 2,Ｂモルガナイト, 77,岩田康,, 90,  21,* -1, 1,  2.8, ⑥⑥, 1, 4,Ｋラタｰシュ, 78,川田将,, 84,   9,* 13, 6, 16.1,⑤⑥⑥, 1, 5,Ｎアピｰル, 57,太宰啓,, 67,  -8,* 15,14,194.8, ⑭⑭
 2, 5, ケイアイブリザｰド,---,岩田康, 0.8, 61,*  3,  -8, 1,  2.2, ①①, 2,10,Ｄボンバルリｰナ, 71,武豊  , 0.2, 88,  22,  -7, 2,  3.0, ④③, 2, 7,Ｂチャｰムナデシコ, 84,幸英明, 0.1, 83,* 10,  11, 4,  7.8,④④③, 2, 6,Ａタマモトワイライト, 76,松山弘, 0.0, 69,* 11,  -5, 6,  8.7, ①①
 3, 2, コンカラン,---,川田将, 1.2, 56,  -2,  -4, 3,  5.7, ⑧⑥, 3, 4,Ｃカネトシスラｰヴァ, 73,佐藤哲, 0.7, 82,  20,  -9, 5, 11.6, ⑪⑩, 3, 8,Ａトシセント, 84,佐藤哲, 0.2, 83,   9,* 13, 3,  6.6,⑦⑦⑦, 3,11,Ｃセントエドワｰド, 75,和田竜, 0.3, 68,* 10,  -7, 3,  7.3, ③③
 4, 9, ナイトオブザオペラ,---,藤田伸, 1.3, 55,   2, -10, 2,  5.1, ③②, 4, 3,Ａリｰガルアミュｰズ, 80,小牧太, 0.9, 82,  18, -10, 3,  3.8, ⑨⑨, 4, 2,Ｆディアプリンシパル, 81,太宰啓, 0.3, 85,   7,* 17, 7, 18.0,⑪⑪⑫, 4,10,Ｅアグネスイカロス, 72,柴山雄, 0.3, 65,   3,   0, 7, 14.6, ⑪⑪
 5, 1, チュウワミラクル,---,小牧太, 1.5, 52,  -8,* -1, 8, 26.3, ⑨⑨, 5, 9,Ｋアヤナベル, 57,赤木高, 1.5, 74,* 24, -29,11,279.3, ②②, 5, 9,Ｈウィッシングデュｰ, 79,鮫島良, 0.4, 80,* 11,   4,11,118.7,①①①, 5, 4,Ｉファンドリカップ, 65,熊沢重, 0.4, 65,   5,  -3, 8, 22.2, ⑨⑨
 6, 6, スウィｰプイン,---,浜中俊, 2.3, 47,  -1, -16, 9, 85.5, ⑥⑤, 6, 7,Ｅヤサシイキモチ, 68,藤田伸, 1.5, 76,  21, -23, 4, 11.0, ⑧⑦, 6, 6,Ｃタガノアッシュ, 82,赤木高, 0.7, 80,   9,   7, 5, 12.5,⑥⑤⑤, 6,14,Ｄダノンアスコット, 75,藤田伸, 0.4, 64,   6,  -4, 9, 28.7, ⑧⑥
 7, 8, タｰジマハル,---,藤岡康, 2.4, 46,  -3, -14, 6, 12.2, ⑦⑦, 7, 1,Ｇナムララピス, 65,渡辺薫, 1.6, 75,  21, -26, 9,103.5, ③④, 7, 3,Ｅナムラマハラジャ, 81,福永祐, 1.0, 79,   8,   8, 9, 33.1,⑧⑧⑨, 7, 8,Ｋインプリシット, 63,鮫島良, 0.5, 63,   1,   0,12,148.8, ⑬⑬
 8,10, スカイノリン,---,四位洋, 4.7, 29, -13, -22, 7, 15.5, ⑩⑩, 8, 8,Ｉトウカイアワｰド, 64,福永祐, 1.8, 73,  20, -26, 8, 37.1, ⑩⑧, 8,11,Ｊマゼラン, 78,武豊  , 1.1, 76,* 11,   0, 1,  2.0,③②②, 8, 3,Ｆホウショウアビル, 68,岩田康, 0.5, 64,   6,  -4, 4,  7.5, ⑦⑧
 9, 7, スマｰトメビウス,---,武豊  , 4.8, 29,   2, -41, 4,  8.1, ②③, 9, 5,Ｊトｰセンウｰノ, 63,幸英明, 1.8, 72,* 25, -37, 7, 33.1, ①①, 9,13,Ｉキャトルキャｰル, 79,藤岡康, 1.5, 76,   8,   5, 8, 29.6,⑬⑬⑧, 9, 2,Ｈテイエムハヤテオｰ, 66,小牧太, 0.7, 61,   1,  -2, 2,  5.2, ⑫⑫
