09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,山国川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
18,12,Ｍニチドウダイヤ, 41,浜中俊, 2.1, 32, -15, -23, 9, 68.5, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,18, 5,Ｒトシザサンサン, 57,上村洋, 1.9, 51, -14,  -1,16, 64.9, ⑭⑱
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:3),,,,,,,,,,,
"単勝:710円 複勝:16=250円 05=400円 07=2,410円 枠連:590円",,,,,,,,,,,,"単勝:1,740円 複勝:04=500円 14=170円 03=180円 枠連:880円",,,,,,,,,,,,"単勝:1,300円 複勝:10=340円 04=200円 09=140円 枠連:970円",,,,,,,,,,,,"単勝:470円 複勝:03=200円 11=320円 12=980円 枠連:1,470円",,,,,,,,,,,
"馬連:3,410円 ワイド:05-16=1,150円 07-16=8,830円 05-07=11,360円",,,,,,,,,,,,"馬連:3,440円 ワイド:04-14=1,250円 03-04=1,740円 03-14=490円",,,,,,,,,,,,"馬連:6,020円 ワイド:04-10=1,620円 09-10=790円 04-09=420円",,,,,,,,,,,,"馬連:2,840円 ワイド:03-11=1,200円 03-12=4,030円 11-12=4,180円",,,,,,,,,,,
"馬単:5,410円 3連複:165,650円 3連単:710,130円",,,,,,,,,,,,"馬単:9,180円 3連複:5,330円 3連単:48,880円",,,,,,,,,,,,"馬単:12,170円 3連複:5,190円 3連単:44,510円",,,,,,,,,,,,"馬単:5,040円 3連複:40,800円 3連単:194,090円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筑前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｏイコピコ, 30,酒井学,, 60,  -4,*  9, 5,  7.9,⑧⑥⑦, 1,13,Ｂスリｰフォｰトラン, 74,丸田恭,, 70,*  4,   4, 6, 11.1, ①①, 1, 4,Ａニュｰロザリオ, 76,松山弘,, 77,   6,* 12, 4,  6.1,⑫⑦⑧, 1, 2,Ｌマイネルモデルノ, 63,川島信,, 76,* 10,   7, 9, 23.3,①①④
 2,15,Ｅエｰシンモアオバｰ, 59,浜中俊, 0.1, 59,* -3,   5, 1,  3.8,⑥④③, 2,10,Ａフォレストジャガｰ, 74,藤岡康, 0.0, 70,*  2,   5, 9, 25.2, ②②, 2, 9,Ｂオｰミプレシャス, 75,川島信, 0.0, 76,   6,* 15, 1,  4.1,⑭⑫⑨, 2,10,Ｊスマｰトステｰジ, 64,田中博, 0.2, 76,   7,  10,12, 55.0,⑧⑧⑧
