09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
18,13, オリオンザトップ,---,浜中俊, 2.6, 40,   0, -26, 9, 48.6, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,
単勝:200円 複勝:09=110円 01=130円 06=190円 枠連:430円,,,,,,,,,,,,単勝:150円 複勝:10=110円 08=180円 11=250円 枠連:500円,,,,,,,,,,,,単勝:190円 複勝:09=120円 05=180円 03=880円 枠連:590円,,,,,,,,,,,,単勝:340円 複勝:14=180円 07=380円 02=740円 枠連:700円,,,,,,,,,,,
馬連:420円 ワイド:01-09=180円 06-09=400円 01-06=560円,,,,,,,,,,,,馬連:530円 ワイド:08-10=280円 10-11=380円 08-11=890円,,,,,,,,,,,,"馬連:680円 ワイド:05-09=350円 03-09=1,490円 03-05=3,340円",,,,,,,,,,,,"馬連:1,700円 ワイド:07-14=880円 02-14=1,710円 02-07=3,720円",,,,,,,,,,,
"馬単:660円 3連複:990円 3連単:2,740円",,,,,,,,,,,,"馬単:630円 3連複:1,590円 3連単:3,980円",,,,,,,,,,,,"馬単:890円 3連複:9,140円 3連単:24,850円",,,,,,,,,,,,"馬単:2,610円 3連複:13,460円 3連単:65,740円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 9R  芝1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,対馬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｅメイショウサンドラ, 59,飯田祐,, 68,  -1,   4,11, 57.1,⑤⑤⑤, 1, 7,Ａトップサンダｰ, 71,和田竜,, 63,* -7,   5, 1,  2.4,④③②, 1,14,Ｄメイショウジェイ, 72,飯田祐,, 73,  -7,* 14, 4,  6.4,⑥⑦⑤, 1, 7,Ｄライジングバイオ, 73,小牧太,, 74,*  0,* 15, 3,  5.5,③④③
 2, 2,Ｊアグネスクイｰン, 53,上村洋, 0.0, 67,*  1,   0, 8, 18.6,③③④, 2, 1,Ｂミヤコトップガン, 64,小牧太, 0.0, 63,* -7,   4, 2,  2.5,①①①, 2, 8,Ｅシルクシャンゼリゼ, 72,太宰啓, 0.0, 71,* -4,   9, 1,  3.7,②②②, 2, 3,Ｅファイアナカヤマ, 71,和田竜, 0.1, 74,  -2,* 16, 4,  7.8,⑦⑦⑤
