09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,
"単勝:3,220円 複勝:02=580円 15=170円 08=390円 枠連:490円",,,,,,,,,,,,"単勝:190円 複勝:04=110円 07=1,080円 03=230円 枠連:1,810円",,,,,,,,,,,,"単勝:260円 複勝:07=150円 08=410円 11=2,290円 枠連:2,180円",,,,,,,,,,,,"単勝:400円 複勝:16=180円 08=740円 05=480円 枠連:5,600円",,,,,,,,,,,
"馬連:4,510円 ワイド:02-15=1,400円 02-08=2,640円 08-15=920円",,,,,,,,,,,,"馬連:4,350円 ワイド:04-07=1,350円 03-04=350円 03-07=2,560円",,,,,,,,,,,,"馬連:2,420円 ワイド:07-08=830円 07-11=5,310円 08-11=18,170円",,,,,,,,,,,,"馬連:6,460円 ワイド:08-16=2,490円 05-16=1,520円 05-08=5,310円",,,,,,,,,,,
"馬単:11,250円 3連複:14,360円 3連単:110,200円",,,,,,,,,,,,"馬単:5,840円 3連複:7,250円 3連単:42,860円",,,,,,,,,,,,"馬単:3,270円 3連複:69,400円 3連単:192,660円",,,,,,,,,,,,"馬単:9,720円 3連複:30,080円 3連単:162,230円",,,,,,,,,,,
■ 3R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,皆生特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, ハマノオラトリオ,,高田潤,,,,, 5,  8.3,①①①, 1,15,Ｅブライダルベｰル, 59,藤岡康,, 72,  -9,* 17,11, 58.4, ⑱⑯, 1,14,Ｈショウサンウルル, 75,芹沢純,, 81,* 11,   7, 4,  9.1, ②②, 1,16,Ａミスタｰレンチ, 80,和田竜,, 73,  -2,* 10, 6,  9.2, ⑪⑪
 2,10, エアリｰズ,,北沢伸,206.9,,,, 1,  3.7,④②②, 2, 5,Ｆジャグラｰキング, 59,小牧太, 0.2, 66,*  3,  -8, 4, 12.4, ①①, 2,15,Ａワｰルドワイド, 88,上村洋, 0.0, 83,  10,*  9, 1,  3.0, ⑤④, 2,12,Ｊワイドヒリュウ, 66,田中克, 0.0, 74,*  6,   3, 7, 43.6, ①①
 3, 4, エリモマキシム,,小坂忠,207.2,,,, 7, 12.7,⑧④④, 3,13,Ｂパラディｰゾ, 61,武豊  , 0.4, 63,  -4,   0, 1,  1.8, ⑧⑧, 3,13,Ｌネヴァシャトル, 73,浜中俊, 0.3, 81,* 12,   3,10, 34.5, ①①, 3,15,Ｄハｰドリレｰ, 75,浜中俊, 0.1, 73,   0,   9, 4,  6.0, ⑨⑩
