09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,
単勝:680円 複勝:07=150円 12=110円 13=120円 枠連:450円,,,,,,,,,,,,単勝:760円 複勝:07=170円 04=110円 06=170円 枠連:320円,,,,,,,,,,,,単勝:890円 複勝:14=220円 12=140円 16=300円 枠連:870円,,,,,,,,,,,,"単勝:1,380円 複勝:02=480円 05=130円 07=290円 枠連:670円",,,,,,,,,,,
馬連:530円 ワイド:07-12=220円 07-13=350円 12-13=150円,,,,,,,,,,,,馬連:740円 ワイド:04-07=270円 06-07=560円 04-06=250円,,,,,,,,,,,,"馬連:1,040円 ワイド:12-14=490円 14-16=1,040円 12-16=740円",,,,,,,,,,,,"馬連:2,000円 ワイド:02-05=930円 02-07=2,730円 05-07=550円",,,,,,,,,,,
"馬単:1,640円 3連複:630円 3連単:5,100円",,,,,,,,,,,,"馬単:2,030円 3連複:1,120円 3連単:9,260円",,,,,,,,,,,,"馬単:3,170円 3連複:2,700円 3連単:22,550円",,,,,,,,,,,,"馬単:5,020円 3連複:5,190円 3連単:35,500円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ1700m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早鞆特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａブライドルアップ, 67,幸英明,, 77,*  9,* -1, 1,  1.7, ①①, 1, 6,Ｆトｰホウカラブラン, 72,横山典,, 69,*  0,   6, 2,  4.2, ②②, 1,12,Ｆザサンデｰフサイチ, 71,安藤勝,, 71,*  4,   3, 2,  5.2,④②③, 1, 8,Ｈメイショウラッシｰ, 77,武豊  ,, 79,* 11,  13, 3,  8.2,①①①
 2,13,Ｉマチカネコロモガワ, 51,川島信, 0.4, 67,   1,*  2, 7, 32.4, ⑦⑦, 2,12,Ｈラスカルデュｰク, 69,古川吉, 0.0, 71,  -6,* 11, 4,  7.2, ⑨⑥, 2, 9,Ａウインキングストン, 75,武豊  , 0.1, 70,*  4,   3, 1,  3.1,③③②, 2, 3,Ａヒカリコｰズウェｰ, 84,安藤光, 0.4, 76,   6,* 18, 1,  3.5,⑩⑧⑥
 3, 3,Ｄマンテンパパ, 57,芹沢純, 0.7, 63,   1,* -2, 2,  6.8, ⑥⑤, 3, 5,Ｍウイニングヒロオｰ, 49,田中健, 0.0, 70,*  0,   6,12,100.8, ①①, 3,10,Ｅマルサンリタｰン, 72,太宰啓, 0.2, 71,*  5,  -1, 4,  7.5,①①①, 3,15,Ｆゲバルトステイヤｰ, 78,幸英明, 0.5, 75,   8,  15, 8, 19.7,⑨⑤⑤
