09年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ西日本賞北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-7),,,,,,,,,,,
"単勝:580円 複勝:03=210円 06=130円 14=1,130円 枠連:320円",,,,,,,,,,,,単勝:290円 複勝:16=130円 03=190円 08=260円 枠連:740円,,,,,,,,,,,,単勝:380円 複勝:04=150円 14=120円 03=220円 枠連:240円,,,,,,,,,,,,"単勝:250円 複勝:01=130円 09=820円 14=130円 枠連:2,660円",,,,,,,,,,,
"馬連:760円 ワイド:03-06=370円 03-14=6,600円 06-14=1,580円",,,,,,,,,,,,馬連:960円 ワイド:03-16=410円 08-16=770円 03-08=680円,,,,,,,,,,,,馬連:410円 ワイド:04-14=200円 03-04=570円 03-14=510円,,,,,,,,,,,,"馬連:9,180円 ワイド:01-09=1,650円 01-14=190円 09-14=2,320円",,,,,,,,,,,
"馬単:1,870円 3連複:17,240円 3連単:73,460円",,,,,,,,,,,,"馬単:1,470円 3連複:2,890円 3連単:11,390円",,,,,,,,,,,,"馬単:980円 3連複:1,190円 3連単:5,050円",,,,,,,,,,,,"馬単:14,630円 3連複:7,100円 3連単:54,610円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,由布院特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆフェリキタｰス, 61,幸英明,, 67,  -1,*  4, 7, 19.2,⑨⑧⑦, 1,14,Ｍダノンイチロｰ, 45,福永祐,, 70,*  6,  -4, 6, 15.8,①①①, 1,10,Ｂメイショウゴルゴ, 84,武豊  ,, 83,*  6,  17, 6, 14.4,①①①, 1,11,Ａグッドルッキング, 78,太宰啓,, 81,* 13,   2, 2,  3.4, ②②
 2, 1,Ｈオカゲサマデ, 58,中村将, 0.0, 67,  -1,*  5, 6, 13.8,⑰⑨③, 2, 3,Ｃミヤコトップガン, 65,武豊  , 0.5, 66,   2,  -2, 1,  2.4,⑥⑧⑥, 2, 3,Ａシｰポラリス, 87,太宰啓, 0.2, 83,   3,* 20, 1,  1.4,⑩⑪⑪, 2, 7,Ｂブライドルアップ, 76,幸英明, 0.2, 79,* 14,  -2, 3,  4.0, ①①
 3, 5,Ｅブラストルピナス, 62,鈴来直, 0.1, 65,*  0,* -1, 5, 12.4,④④④, 3,15,Ｅスｰパｰオｰビット, 59,藤岡康, 0.5, 67,  -2,*  6, 4,  7.3,⑬⑪⑪, 3, 2,Ｉミステリｰゲスト, 76,福永祐, 0.4, 82,   3,* 19, 7, 32.7,⑦⑦⑥, 3,18,Ｇコスモクリスタル, 71,和田竜, 0.3, 77,* 10,   1, 5,  9.4, ④③
 4,10,Ｑエリモディｰバ, 36,松山弘, 0.6, 59,*  1, -11,13, 70.8,②②②, 4, 4,Ｄフィクサｰ, 65,佐藤哲, 0.6, 64,   1,*  0, 2,  4.8,⑧⑨⑧, 4, 7,Ｄトシセント, 80,佐藤哲, 0.4, 81,   3,* 20, 5, 13.2,⑪⑭⑫, 4, 5,Ｃシルクナデシコ, 74,藤岡康, 0.8, 71,  -3,*  8, 4,  9.1, ⑬⑩
