09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｐミキノセレナｰデ, 60,幸英明, 2.6, 41,   1, -25,13, 43.3, ⑩⑭
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
"単勝:730円 複勝:07=200円 08=160円 14=150円 枠連:1,190円",,,,,,,,,,,,"単勝:1,110円 複勝:13=300円 01=150円 09=270円 枠連:660円",,,,,,,,,,,,"単勝:260円 複勝:03=130円 01=310円 09=130円 枠連:2,290円",,,,,,,,,,,,単勝:700円 複勝:06=210円 12=150円 07=160円 枠連:990円,,,,,,,,,,,
"馬連:1,000円 ワイド:07-08=310円 07-14=470円 08-14=380円",,,,,,,,,,,,"馬連:1,790円 ワイド:01-13=730円 09-13=1,220円 01-09=520円",,,,,,,,,,,,"馬連:2,240円 ワイド:01-03=630円 03-09=220円 01-09=730円",,,,,,,,,,,,"馬連:1,340円 ワイド:06-12=550円 06-07=510円 07-12=380円",,,,,,,,,,,
"馬単:2,240円 3連複:1,570円 3連単:11,090円",,,,,,,,,,,,"馬単:4,240円 3連複:6,090円 3連単:34,890円",,,,,,,,,,,,"馬単:3,140円 3連複:2,410円 3連単:15,990円",,,,,,,,,,,,"馬単:3,520円 3連複:1,920円 3連単:13,350円",,,,,,,,,,,
■ 3R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,西海賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, マヤノスタｰダム,,植野貴,,,,, 2,  3.7,⑦⑥④, 1, 4,Ａワｰルドロレックス, 72,松山弘,, 72,*  5,* -2, 1,  1.7, ②②, 1, 2,Ａオディｰル, 86,小牧太,, 86,   1,* 18, 1,  1.9,⑥⑤④, 1, 2,Ｃマルブツサクラオｰ, 78,太宰啓,, 72,* 10,  -2, 2,  4.6,④①①
 2, 6, ニホンピロファイブ,,林満明,190.0,,,, 3, 10.7,④①①, 2,17,Ｄタマモコロナ, 58,鈴来直, 0.2, 68,*  3,* -2,11, 88.6, ③④, 2, 7,Ｃアグネスサクラ, 76,幸英明, 0.6, 75,*  4,   4, 2,  2.7,①①①, 2,15,Ｂアドマイヤアゲイン, 78,小牧太, 0.1, 71,   8,*  0, 1,  2.4,⑬⑥③
