14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,
単勝:410円 複勝:01=180円 03=260円 11=170円 枠連:490円,,,,,,,,,,,,"単勝:640円 複勝:08=160円 01=230円 06=110円 枠連:1,850円",,,,,,,,,,,,"単勝:260円 複勝:02=130円 09=250円 01=140円 枠連:1,390円",,,,,,,,,,,,単勝:420円 複勝:14=170円 03=150円 10=260円 枠連:400円,,,,,,,,,,,
"馬連:1,720円 ワイド:01-03=580円 01-11=340円 03-11=630円",,,,,,,,,,,,"馬連:3,220円 ワイド:01-08=740円 06-08=240円 01-06=390円",,,,,,,,,,,,"馬連:1,520円 ワイド:02-09=490円 01-02=200円 01-09=550円",,,,,,,,,,,,馬連:880円 ワイド:03-14=350円 10-14=720円 03-10=590円,,,,,,,,,,,
"馬単:3,120円 3連複:1,460円 3連単:10,680円",,,,,,,,,,,,"馬単:7,320円 3連複:1,390円 3連単:16,880円",,,,,,,,,,,,"馬単:1,710円 3連複:1,470円 3連単:8,960円",,,,,,,,,,,,"馬単:1,870円 3連複:2,470円 3連単:11,080円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,花見小路特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａタマモライト, 60,池添謙,, 59,* -9,   6, 3,  4.6, ①①, 1, 5,Ｋテイエムチカラ, 61,幸英明,, 73,*  3,   9, 5, 17.1, ①①, 1, 2,Ｂヒュウマ, 78,浜中俊,, 79,  12,  -4, 2,  5.4, ③③, 1, 8,Ｏバコパ, 57,四位洋,, 80,* 10,   6,11, 42.2, ②②
 2, 1,Ｄミッキｰナイト, 56,ルメｰ, 0.0, 58, -12,* 10, 2,  3.0, ⑤⑤, 2, 3,Ａエｰシンクルゼ, 78,福永祐, 0.2, 70,  -1,  11, 1,  2.0, ③④, 2, 6,Ｆレッドジゼル, 74,四位洋, 0.0, 82,   7,   8, 4,  6.1, ⑥⑥, 2, 3,Ｆトランザムスタｰ, 73,ギュイ, 0.1, 78,* 10,   5, 2,  5.7, ①①
 3, 9,Ｈヴォルカヌス, 53,幸英明, 0.3, 59,*-11,   6, 7, 24.0, ④③, 3,10,Ｅエルウェｰオｰジャ, 72,丹内祐, 0.5, 67,  -2,  10, 8, 44.1, ④③, 3, 7,Ｃカロッサル, 76,福永祐, 0.2, 79,   4,   8, 3,  5.6, ⑦⑦, 3,14,Ｋゼンノコリオリ, 67,酒井学, 0.2, 79,   4,* 11, 9, 36.2, ⑦⑥
 4, 5,Ｆショウナンサンタ, 55,岩田康, 0.6, 54,*-11,   3, 6, 20.8, ③④, 4, 8,Ｄサトノプレシャス, 72,岩田康, 0.5, 69, -12,* 19, 3,  6.3, ⑪⑪, 4, 5,Ｄニシノカチヅクシ, 75,酒井学, 0.4, 76,   6,   2, 9,113.3, ⑤⑤, 4,12,Ａサダムコｰテイ, 78,川田将, 0.8, 75,  -1,* 13, 1,  1.7, ⑬⑫
 5,15,Ｂメンカウラｰ, 60,武豊  , 0.8, 55, -18,*  9, 1,  2.9, ⑬⑫, 5, 1,Ｃヴェアデイロス, 73,ルメｰ, 0.6, 67,  -4,  12, 4,  6.9, ⑥⑦, 5, 1,Ｉディアマイベイビｰ, 67,川田将, 0.5, 74,* 13, -13, 5, 12.2, ①①, 5, 5,Ｇサｰシスリｰフ, 72,ルメｰ, 1.1, 69,   7,   0, 3,  8.8, ⑤④
 6,10,Ｎランズデｰル, 41,ギュイ, 1.0, 50,*-11,  -1,13,157.2, ②②, 6,11,Ｇヒカリユニキャスト, 66,酒井学, 0.6, 67,*  1,   6, 9, 52.7, ②②, 6,10,Ａブルｰハｰツクライ, 80,国分優, 0.6, 74,   8,  -4, 6, 13.3, ④④, 6, 2,Ｄワンダｰゴヴェルノ, 74,秋山真, 1.1, 72,   1,   8, 6, 19.8, ⑩⑩
