14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,但馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,
"単勝:2,310円 複勝:04=580円 01=440円 12=1,200円 枠連:8,270円",,,,,,,,,,,,"単勝:320円 複勝:03=140円 09=570円 14=140円 枠連:1,540円",,,,,,,,,,,,"単勝:1,490円 複勝:06=410円 13=150円 03=1,640円 枠連:570円",,,,,,,,,,,,単勝:170円 複勝:01=110円 08=200円 02=150円 枠連:480円,,,,,,,,,,,
"馬連:11,030円 ワイド:01-04=2,130円 04-12=7,380円 01-12=5,890円",,,,,,,,,,,,"馬連:5,280円 ワイド:03-09=1,390円 03-14=240円 09-14=1,770円",,,,,,,,,,,,"馬連:2,210円 ワイド:06-13=760円 03-06=10,280円 03-13=2,460円",,,,,,,,,,,,馬連:940円 ワイド:01-08=310円 01-02=190円 02-08=540円,,,,,,,,,,,
"馬単:29,390円 3連複:132,910円 3連単:968,450円",,,,,,,,,,,,"馬単:8,260円 3連複:5,970円 3連単:41,780円",,,,,,,,,,,,"馬単:5,660円 3連複:42,680円 3連単:223,520円",,,,,,,,,,,,"馬単:1,240円 3連複:1,120円 3連単:4,060円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,丹波特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｈクレイジｰジョｰ, 54,城戸義,, 62,   0,  -2, 8, 25.2, ④④, 1,10,Ｄキンシノキセキ, 69,浜中俊,, 70,  -2,   3, 4,  7.6, ⑩⑨, 1,10,Ａフォｰチュンスタｰ, 80,岩田康,, 78,   0,   6, 1,  1.9, ④④, 1,12,Ｂフミノメモリｰ, 84,国分優,, 77,   9,   6, 1,  2.7,⑨⑦⑦
 2,13,Ａガンジｰ, 65,バルジ, 0.0, 63,*  2,  -3, 1,  1.4, ③③, 2, 9,Ｏウインレｰベン, 55,義英真, 0.0, 69,*  7,  -9,14,166.6, ①①, 2, 2,Ｅシンジュボシ, 76,バルジ, 0.0, 76,*  6,   1, 3,  7.8, ①①, 2,10,Ｅスズカウラノス, 81,川須栄, 0.2, 80,   8,   7, 5, 12.3,⑪⑪⑨
 3, 7,Ｅクリアザコｰスト, 57,松山弘, 0.1, 59,  -8,*  8, 4, 13.1, ⑮⑭, 3,15,Ｃモンラッシェ, 69,小牧太, 0.1, 69,  -7,*  8, 5,  9.5, ⑬⑬, 3,11,Ｃシンデレラボｰイ, 78,中谷雄, 0.1, 77,  -2,*  8, 4,  8.6, ⑤⑤, 3, 7,Ｃランドマｰキュリｰ, 81,北村友, 0.2, 77,  11,   2, 2,  4.5,⑦⑤④
 4,12,Ｃセンティグレｰド, 59,池添謙, 0.4, 59,*  2,  -7, 5, 21.9, ②②, 4, 1,Ｌナムラアッパｰ, 62,岩崎翼, 0.2, 69,  -3,   2,13, 87.9, ⑨⑩, 4, 5,Ｊメロｰト, 71,太宰啓, 0.1, 76,*  2,   4,12, 78.3, ③③, 4,14,Ｆアｰバンレジェンド, 80,岩田康, 0.2, 79,   8,   7, 6, 14.8,⑧⑧⑧
 5, 8,Ｆマサノジュエリｰ, 57,武豊  , 0.4, 60,  -1,  -4, 3, 11.4, ⑥⑤, 5, 8,Ａラブリｰプラネット, 75,武豊  , 0.2, 68,  -3,   3, 1,  2.1, ⑫⑪, 5,16,Ｆヤマノレオ, 73,和田竜, 0.3, 75,  -5,*  8, 9, 45.0, ⑨⑨, 5, 3,Ｈオｰシャンパワｰ, 78,浜中俊, 0.3, 78,   9,   4, 7, 18.9,⑤⑥⑥
