08年 8月 3日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 3日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,かもめ島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:不良(指数:11),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:11),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:-7),,,,,,,,,,,
単勝:180円 複勝:12=110円 05=110円 02=220円 枠連:210円,,,,,,,,,,,,"単勝:1,930円 複勝:08=480円 10=450円 12=250円 枠連:5,450円",,,,,,,,,,,,"単勝:2,320円 複勝:05=610円 01=380円 06=250円 枠連:11,410円",,,,,,,,,,,,単勝:190円 複勝:12=110円 03=140円 10=290円 枠連:340円,,,,,,,,,,,
馬連:200円 ワイド:05-12=130円 02-12=380円 02-05=440円,,,,,,,,,,,,"馬連:10,360円 ワイド:08-10=3,090円 08-12=1,590円 10-12=1,660円",,,,,,,,,,,,"馬連:8,490円 ワイド:01-05=2,640円 05-06=2,110円 01-06=1,440円",,,,,,,,,,,,馬連:330円 ワイド:03-12=190円 10-12=520円 03-10=840円,,,,,,,,,,,
"馬単:350円 3連複:710円 3連単:1,850円",,,,,,,,,,,,"馬単:23,300円 3連複:22,680円 3連単:184,760円",,,,,,,,,,,,"馬単:22,140円 3連複:21,130円 3連単:150,110円",,,,,,,,,,,,"馬単:490円 3連複:1,670円 3連単:4,540円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,UHB杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａサザンギャラクシｰ, 68,安藤勝,, 58,  -1,* 10, 1,  1.6,⑧⑤③, 1, 4,Ｃトｰセンベルファム, 72,横山典,, 70,  -8,* 12, 3,  4.6,⑧⑧⑥, 1,11,Ｃマヤノツルギ, 86,長谷川,, 89,* 16,  11, 2,  4.5,②②①, 1, 6,Ｃマザｰズウィッシュ, 69,ホワイ,, 82,  10,*  5, 3,  5.7,③③③
 2, 9,Ｂエスジｰストリｰム, 67,武幸四, 0.0, 57,*  1,*  8, 2,  3.3,③②③, 2,12,Ｉフィリアルドｰタｰ, 63,三浦皇, 0.4, 67,*  4,   0, 7, 21.7,①②①, 2, 5,Ｋスｰパｰマルトク, 78,荻野琢, 0.3, 85,* 16,   8, 4,  6.8,①①②, 2, 1,Ａディスパｰジョン, 76,古川吉, 0.3, 85,* 20,  -8, 1,  3.3,①①①
 3,10,Ｆセピアエスプレッソ, 57,津村明, 0.9, 51,*  1,  -1, 4, 11.8,②②②, 3, 9,Ａメジロシｰゴｰ, 85,丸田恭, 0.4, 67,  -2,   4, 2,  3.4,④③③, 3, 7,Ｄキングストレイル, 85,ホワイ, 0.4, 84,  10,  13, 1,  3.3,⑥⑤④, 3,10,Ｆエムオｰミラクル, 66,三浦皇, 0.8, 70,   5,   0, 4,  6.9,⑨⑦⑤
 4, 7,Ｇスカイラプタｰ, 57,大野拓, 1.1, 52,  -2,   4, 9, 84.0,⑨⑧⑧, 4, 7,Ｂナムラフランキｰ, 74,小林徹, 0.7, 66,*  4,  -2, 1,  2.8,①①②, 4, 4,Ａトｰルハンマｰ, 87,菊沢隆, 0.7, 80,  13,   6, 8, 27.0,⑤③④, 4, 9,Ｌノボディｰヴォ, 55,大野拓, 0.8, 69,   2,*  3,13,128.8,⑪⑩⑦
 5, 6,Ｄクニサキマサオｰ, 60,梶晃啓, 1.1, 50,   0,   0, 8, 58.8,④④⑤, 5, 2,Ｈテイエムゲンキボ, 65,菊沢隆, 0.8, 62, -11,*  7, 8, 33.3,⑩⑩⑨, 5, 1,Ｎタニノマティｰニ, 77,武幸四, 0.7, 81,  10,   9, 6, 12.0,③⑤⑥, 5, 7,Ｇギンザマスタング, 65,的場勇, 1.0, 75,* 19, -16, 6,  8.9,①②②
 6, 2,Ｊジョウノファイタｰ, 49,荻野琢, 1.8, 47,  -1,  -5, 7, 44.0,⑦⑤⑤, 6, 1,Ｅスキマチェリｰ, 69,木幡初, 0.9, 61,  -3,   0, 6, 18.0,④④③, 6, 2,Ｏロイヤルキャンサｰ, 76,丸田恭, 0.7, 80,   7,  11,15, 72.6,⑨⑦⑥, 6, 2,Ｈケイアイスウォｰド, 65,横山典, 1.2, 65,   6,  -6, 5,  8.9,⑥⑦⑤
 7, 4,Ｅケイエムチャンス, 59,木幡初, 1.8, 44,   0,  -5, 6, 33.1,⑤⑤⑤, 7,11,Ｊサルバドｰルボス, 61,古川吉, 1.2, 58, -10,   2, 9, 64.6,⑨⑨⑨, 7, 8,Ｆマイネルハｰティｰ, 81,三浦皇, 0.7, 80,  -3,* 21,10, 34.1,⑮⑯⑮, 7, 5,Ｉカシマワｰルド, 61,鈴来直, 1.5, 63,   4,  -5,11, 69.0,⑪⑩⑨
 8, 8,Ｉボビｰファインダｰ, 53,北村友, 1.9, 42,*  1, -10, 5, 26.7,①①①, 8, 6,Ｄヤマニンブリオン, 70,四位洋, 1.2, 58,  -5,  -2, 4,  7.2,⑥⑥⑤, 8, 6,Ｌアンバｰジャック, 78,木幡初, 0.7, 81,* 14,   5,14, 64.1,③③③, 8,14,Ｂデスコベルタ, 71,安藤勝, 1.7, 60,   9, -14, 2,  4.5,⑥③③
 9, 3,Ｈクリノラブタイプ, 56,菊沢隆, 2.4, 43,  -2,  -6,10,126.3,⑨⑧⑨, 9,10,Ｋキングデオキシス, 59,梶晃啓, 1.4, 56,  -5,  -3,10, 80.0,⑥⑥⑥, 9,15,Ｈコスモシンドラｰ, 79,津村明, 0.7, 81,   2,* 16,16, 77.6,⑬⑪⑨, 9,13,Ｄファンタジックキｰ, 68,荻野琢, 1.8, 56,  -9,   1, 8, 23.7,⑭⑭⑭
