08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,宝塚記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬連:1,440円 ワイド:05-06=540円 06-11=900円 05-11=700円",,,,,,,,,,,,"馬連:6,850円 ワイド:11-14=1,700円 08-11=1,330円 08-14=1,580円",,,,,,,,,,,,馬連:760円 ワイド:03-08=270円 06-08=480円 03-06=520円,,,,,,,,,,,,"馬連:880円 ワイド:06-07=330円 04-07=1,590円 04-06=1,030円",,,,,,,,,,,
"馬単:2,620円 3連複:3,370円",,,,,,,,,,,,"馬単:14,090円 3連複:15,240円",,,,,,,,,,,,"馬単:1,370円 3連複:2,090円",,,,,,,,,,,,"馬単:1,920円 3連複:5,730円 3連単:28,530円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,水無月特別,,,,,,,,,,,,垂水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａカリスマシャチョウ, 65,幸英明,, 67,   4,* -1, 1,  3.1,⑤⑧⑦, 1,13,Ｅメイショウラッシｰ, 73,武豊  ,, 75,   9,*  1, 1,  3.1,④③②, 1, 4,Ｃコパノスケ, 79,岩田康,, 83,  12,   1, 3,  6.5, ③③, 1, 1,Ｃホッコｰパドゥシャ, 89,内田博,, 94,* 18,*  6, 2,  5.3, ①①
 2, 9,Ｉトｰホウミラクル, 51,和田竜, 0.2, 67,*  7,  -8,10, 56.8,②②①, 2,10,Ｉシｰクレバｰ, 66,幸英明, 0.3, 74,   7,*  4, 9, 44.4,⑪⑪⑭, 2, 3,Ｄホｰマンファラオ, 76,鮫島良, 0.4, 76,   4,*  4, 8, 34.2, ⑨⑪, 2,11,Ｄヒカリシャトル, 85,後藤浩, 0.6, 87,* 18,  -2, 1,  2.1, ③②
 3, 3,Ｃメイショウユウシャ, 64,石橋守, 0.4, 64,*  6,  -9, 3,  4.9,⑦③②, 3,14,Ｂトシザカイモン, 79,安藤勝, 0.3, 73,* 11,  -5, 2,  3.2,①①①, 3,15,Ｇフミノバラｰド, 72,後藤浩, 0.4, 75,   4,*  4, 6, 18.0, ⑪⑧, 3, 3,Ａグロリアスウィｰク, 92,岩田康, 0.6, 87,  15,*  2, 3,  5.3, ③④
 4,10,Ｄポｰトスピｰド, 63,岩田康, 1.6, 56,   5, -18, 4,  5.1,⑦⑤⑤, 4, 7,Ａナイスラッキｰ, 80,内田博, 0.4, 72,   6,*  3, 3,  6.3,⑭⑬⑪, 4, 5,Ｅタムロスタｰディ, 74,佐藤哲, 0.4, 77,   8,   0,10, 44.3, ⑥⑤, 4, 7,Ｂイｰスタｰ, 89,横山典, 0.7, 88,  16,*  2, 4,  9.7, ⑤⑤
 5, 7,Ｌダンスワイズ, 46,小牧太, 1.8, 56,  -1,  -8, 8, 43.1,⑪⑫⑪, 5,12,Ｃコンヴィヴィオ, 77,後藤浩, 0.8, 69,   9,  -5, 5,  6.9,⑦⑥④, 5, 6,Ｂコウユｰキズナ, 80,武豊  , 0.6, 73,   4,   1, 2,  5.6, ⑨⑧, 5, 4,Ｇアドマイヤディｰノ, 83,安藤勝, 1.3, 80,  13,  -2, 6, 16.7, ⑥⑦
