08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,
単勝:630円 複勝:14=190円 09=110円 13=420円 枠連:380円,,,,,,,,,,,,単勝:230円 複勝:07=140円 08=190円 05=710円 枠連:800円,,,,,,,,,,,,"単勝:9,160円 複勝:14=1,500円 05=160円 08=160円 枠連:3,130円",,,,,,,,,,,,単勝:330円 複勝:10=120円 01=140円 09=180円 枠連:340円,,,,,,,,,,,
"馬連:560円 ワイド:09-14=290円 13-14=1,430円 09-13=790円",,,,,,,,,,,,"馬連:780円 ワイド:07-08=340円 05-07=2,070円 05-08=1,680円",,,,,,,,,,,,"馬連:18,790円 ワイド:05-14=4,370円 08-14=5,530円 05-08=320円",,,,,,,,,,,,馬連:590円 ワイド:01-10=240円 09-10=360円 01-09=460円,,,,,,,,,,,
"馬単:1,420円 3連複:2,760円 3連単:14,900円",,,,,,,,,,,,"馬単:1,350円 3連複:10,860円 3連単:33,890円",,,,,,,,,,,,"馬単:52,760円 3連複:19,780円 3連単:266,410円",,,,,,,,,,,,"馬単:1,190円 3連複:1,150円 3連単:5,000円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12, テイエムモノノフ,,佐久間,,,,, 1,  3.8,②①①, 1, 5,Ｃドリｰムガｰルズ, 56,川島信,, 64,* -4,  10, 5, 14.9,②③②, 1, 5,Ｆホワイトピルグリム, 74,川田将,, 81,  -6,* 32, 5, 12.1,④⑦⑦, 1, 5,Ｇナンゴクプラネット, 68,小牧太,, 74,   0,* 11, 6, 12.9,⑦⑥④
 2, 3, ドｰルリヴィエｰル,,金折知,188.0,,,, 3,  4.6,④③②, 2, 8,Ａダノンパｰス, 69,川田将, 0.1, 63,*  0,   5, 1,  1.5,①①①, 2, 1,Ｂスマｰトギア, 78,岩田康, 0.1, 82,  -7,* 35, 1,  2.2,⑩⑩⑨, 2, 1,Ｃシロキタカｰニバル, 73,田中健, 0.2, 71,*  5,   3, 2,  4.1,①①①
 3, 1, アザンクｰル,,南井大,189.9,,,, 2,  4.6,⑥⑤④, 3, 7,Ｂアスｰルグロリオ, 61,藤岡康, 0.1, 64, -12,* 16, 3,  9.3,⑧⑧⑦, 3, 2,Ｅアペリティフ, 74,小牧太, 0.1, 76,* -2,  22, 3,  5.7,②②②, 3,18,Ｂニホンピロタルト, 74,岩田康, 0.4, 68,  -1,   7, 1,  3.9,④⑦⑦
