08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾒｲﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,17, 5,Ｐトｰホウサルｰ, 45,渡辺薫, 4.8, 36,   3, -54,16,127.7, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,16, トヨサンヨッシャｰ,---,秋山真, 5.0, 33,   2, -54,15,117.5, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:重(指数:7),,,,,,,,,,,
"単勝:240円 複勝:03=130円 04=240円 06=290円 枠連:1,090円",,,,,,,,,,,,"単勝:520円 複勝:07=210円 02=210円 01=340円 枠連:1,100円",,,,,,,,,,,,"単勝:180円 複勝:10=120円 02=350円 09=270円 枠連:1,600円",,,,,,,,,,,,"単勝:3,040円 複勝:05=600円 04=150円 07=240円 枠連:1,710円",,,,,,,,,,,
"馬連:1,120円 ワイド:03-04=540円 03-06=570円 04-06=1,780円",,,,,,,,,,,,"馬連:1,780円 ワイド:02-07=690円 01-07=1,310円 01-02=1,540円",,,,,,,,,,,,"馬連:1,610円 ワイド:02-10=660円 09-10=480円 02-09=1,800円",,,,,,,,,,,,"馬連:2,250円 ワイド:04-05=1,590円 05-07=2,670円 04-07=410円",,,,,,,,,,,
"馬単:1,760円 3連複:3,870円",,,,,,,,,,,,"馬単:3,230円 3連複:7,730円",,,,,,,,,,,,"馬単:2,160円 3連複:4,800円",,,,,,,,,,,,"馬単:6,160円 3連複:8,990円 3連単:34,980円",,,,,,,,,,,
■ 3R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,城崎特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, バトルブレｰヴ,,菊地昇,,,,, 1,  3.0,①①①, 1, 7,Ｋゴッドエンブレム, 53,岩田康,, 70,*  3,   8, 2,  6.9,③③③, 1,13,Ｂアイノレグルス, 80,上村洋,, 80,*  8,*  7, 3,  5.4,④③②, 1, 8,Ａメガリス, 80,藤岡康,, 74,   6,   6, 1,  2.4, ⑤⑤
 2, 7, カネトシパワフル,,熊沢重,206.6,,,, 4,  9.3,②③③, 2,12,Ａカネトシヴィゴｰレ, 70,佐藤哲, 0.1, 68,*  4,   4, 1,  1.4,①①①, 2, 2,Ｇトムトップ, 72,岩崎祐, 0.3, 76,   7,   5,12,131.0,⑤④④, 2,15,Ｇメイショウフウライ, 70,鮫島良, 0.3, 71,  -1,  10, 6, 27.3, ⑧⑧
 3,11, メイショウタロｰ,,白浜雄,207.1,,,, 2,  3.8,③②②, 3, 8,Ｇスリｰサンカリスマ, 56,太宰啓, 0.1, 69,   2,*  9, 5, 15.5,⑥④⑥, 3, 7,Ｃマルブツセンタｰ, 80,岩田康, 0.4, 76,   5,*  9, 1,  2.3,⑪⑩⑦, 3, 3,Ｍアトラスシｰダｰ, 64,佐藤哲, 0.3, 70,* 10,  -1, 7, 28.2, ①①
 4, 9, ブラックレディ,,石神深,208.8,,,,10, 37.7,⑥⑤④, 4,13,Ｃホｰプフルスタｰ, 62,幸英明, 0.4, 68,  -2,* 13, 7, 29.4,⑭⑫⑧, 4,11,Ｍシゲルカイノセ, 66,福永祐, 0.5, 75,   6,   6,10, 67.2,⑨⑧⑦, 4, 5,Ｌシュウボンバｰ, 64,田中健, 0.4, 70,*  9,  -1, 9, 31.4, ②③
