08年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,540円 複勝:02=230円 09=160円 05=110円 枠連:3,660円",,,,,,,,,,,,単勝:290円 複勝:07=140円 15=140円 05=630円 枠連:460円,,,,,,,,,,,,"単勝:190円 複勝:07=120円 05=1,390円 11=1,670円 枠連:5,150円",,,,,,,,,,,,"単勝:2,190円 複勝:05=250円 06=110円 02=170円 枠連:1,170円",,,,,,,,,,,
"馬連:3,550円 ワイド:02-09=660円 02-05=300円 05-09=210円",,,,,,,,,,,,"馬連:490円 ワイド:07-15=260円 05-07=2,060円 05-15=1,630円",,,,,,,,,,,,"馬連:7,540円 ワイド:05-07=2,470円 07-11=2,690円 05-11=29,840円",,,,,,,,,,,,"馬連:1,230円 ワイド:05-06=420円 02-05=1,260円 02-06=230円",,,,,,,,,,,
"馬単:8,820円 3連複:1,030円 3連単:16,370円",,,,,,,,,,,,"馬単:1,060円 3連複:6,030円 3連単:29,270円",,,,,,,,,,,,"馬単:10,340円 3連複:111,150円 3連単:365,490円",,,,,,,,,,,,"馬単:5,260円 3連複:1,710円 3連単:20,430円",,,,,,,,,,,
■ 3R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝3140m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,阪神ｼﾞｬﾝﾌﾟS,,,,,,,,,,,,新涼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, タガノブリオレット,---,福永祐,, 44,*-17,*  0, 2,  3.4,①①①, 1, 8,Ｇオレンジシュプｰル, 69,四位洋,, 78,  -1,* 12, 7, 23.3, ⑩⑧, 1, 8, コウエイトライ,,小坂忠,,,,, 2,  3.5,②①①, 1,14,Ｇバトルサクヤビメ, 77,上村洋,, 78,   5,* 12, 3,  5.2, ⑤⑤
 2, 2, メイショウマクベス,---,熊沢重, 0.4, 43, -18,  -1, 3,  9.6,③③③, 2, 2,Ｂセトノアンテウス, 72,岩田康, 0.0, 77,   3,   8, 2,  3.7, ⑥⑧, 2,10, バトルブレｰヴ,,菊地昇,207.1,,,, 1,  1.8,④③②, 2, 9,Ｃタンティモｰル, 80,浜中俊, 0.0, 76,   2,* 15, 5,  8.0, ⑩⑦
 3, 1, スマｰトスパイダｰ,---,岩田康, 0.7, 38,*-18,  -6, 1,  1.4,②②②, 3, 6,Ｆストラテジｰ, 69,福永祐, 0.2, 75,   1,   7, 4,  6.6, ⑧⑦, 3,12, ミヤビペルセウス,,穂苅寿,207.9,,,, 5, 21.8,⑥③③, 3,12,Ｄジャドｰル, 80,武豊  , 0.0, 76,   6,  11, 2,  4.8, ⑤⑤
 4, 4, リバｰマｰキュリｰ,---,小牧太, 2.1, 29, -19, -15, 5, 20.2,④③③, 4,13,Ａシャトルタテヤマ, 76,渡辺薫, 0.3, 75,* 16,  -9, 1,  3.3, ③②, 4, 5, ドングラシアス,,熊沢重,208.1,,,,11, 94.1,③③⑤, 4, 5,Ｂロｰドクルｰザｰ, 83,岩田康, 0.1, 75,*  9,   5, 1,  3.8, ①①
