08年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-6),,,,,,,,,,,
"単勝:900円 複勝:05=200円 04=260円 08=110円 枠連:3,940円",,,,,,,,,,,,単勝:590円 複勝:09=150円 01=110円 11=190円 枠連:340円,,,,,,,,,,,,"単勝:1,400円 複勝:01=350円 14=160円 02=480円 枠連:1,820円",,,,,,,,,,,,単勝:390円 複勝:03=140円 09=670円 16=140円 枠連:930円,,,,,,,,,,,
"馬連:4,550円 ワイド:04-05=1,170円 05-08=300円 04-08=350円",,,,,,,,,,,,馬連:480円 ワイド:01-09=190円 09-11=570円 01-11=300円,,,,,,,,,,,,"馬連:1,880円 ワイド:01-14=760円 01-02=2,560円 02-14=1,450円",,,,,,,,,,,,"馬連:7,120円 ワイド:03-09=1,650円 03-16=250円 09-16=1,570円",,,,,,,,,,,
"馬単:10,250円 3連複:2,390円 3連単:27,790円",,,,,,,,,,,,"馬単:1,370円 3連複:950円 3連単:4,500円",,,,,,,,,,,,"馬単:5,790円 3連複:14,750円 3連単:104,400円",,,,,,,,,,,,"馬単:11,410円 3連複:7,310円 3連単:51,810円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,小郡特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅラヴファンタジスタ, 61,武豊  ,, 70,* -2,   6, 1,  1.9, ①①, 1, 8,Ｍオシャレキング, 55,熊沢重,, 71,*  0,* 12,10, 34.7,②②①, 1,11,Ｄトｰワユメジ, 73,石橋守,, 78,  -4,  14, 7, 13.2, ⑩⑩, 1,12,Ｄオドゥｰルゲラン, 67,幸英明,, 73,  -1,* 21, 2,  4.4,⑪⑩⑦
