08年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,松前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:93,540円 3連複:63,610円 3連単:719,170円",,,,,,,,,,,,"馬単:3,850円 3連複:8,940円 3連単:42,740円",,,,,,,,,,,,"馬単:15,080円 3連複:11,820円 3連単:101,650円",,,,,,,,,,,,"馬単:2,030円 3連複:13,970円 3連単:54,230円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝2000m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,函館記念 ＧⅢ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂポｰトスピｰド, 62,北村友,, 59,   5,* -9, 3, 10.2,④③③, 1, 2,Ｂトｰセントップラン, 76,藤岡佑,, 71,   5,*  7, 2,  3.1,⑨⑨⑦, 1, 4,Ｉトｰセンキャプテン, 86,藤岡佑,, 92,  18,*  6, 4,  6.9,⑩⑨⑥, 1, 8,Ｃウグイスジョウ, 74,長谷川,, 80,*  9,*  7, 4,  6.6,③②①
 2, 5,Ｅサｰンバラッド, 58,津村明, 0.3, 58,*  8, -16, 5, 23.5,①①①, 2, 7,Ａオコリンボ, 79,藤田伸, 0.1, 69,   6,*  5, 3,  4.1,⑦⑦③, 2,11,Ｅフィｰルドベアｰ, 88,秋山真, 0.0, 91,  19,   1, 1,  4.7,④③②, 2,11,Ｊグランプリヒｰロｰ, 63,藤岡佑, 0.1, 77,*  9,*  6, 5,  7.0,①①②
 3, 3,Ｇラクシュミｰギャル, 57,小林徹, 0.3, 61,   6, -13, 8, 48.3,④③③, 3,11,Ｄイントゥザライト, 73,三浦皇, 0.4, 67,* 10,  -5, 5,  9.8,①①①, 3, 2,Ｇマンハッタンスカイ, 86,四位洋, 0.1, 89,  19,  -1, 2,  5.3,④③②, 3, 6,Ｋケンメイオウ, 62,ホワイ, 1.2, 70,   7,  -1, 8, 25.1,⑤④④
 4, 2,Ｄシリコンフォレスト, 60,ホワイ, 0.6, 56,*  7, -18, 2,  2.6,②②②, 4, 5,Ｈラインジュエル, 66,松田大, 0.5, 70,   7,   0, 7, 35.4,⑫⑥⑤, 4,14,Ｎエリモハリアｰ, 73,武幸四, 0.1, 94,  17,*  8, 6, 12.3,⑫⑫⑩, 4,10,Ｂトウショウツアラｰ, 74,藤田伸, 1.4, 67,   5,   1, 3,  5.4,⑩⑦⑦
 5,10,Ａメイショウロッシ, 70,武幸四, 1.1, 54,   4, -16, 1,  1.9,⑦⑥⑤, 5, 6,Ｅポｰトムテキ, 72,古川吉, 0.6, 67,*  9,  -5, 4,  8.8,④②②, 5, 7,Ｂマヤノライジン, 89,藤田伸, 0.3, 88,  17,   4, 5, 12.3,⑩⑨⑥, 5, 9,Ａヤマノボンディｰル, 75,北村友, 1.5, 66,   6,  -2, 1,  3.3,⑦⑥⑥
 6,11,Ｊメイショウカンスケ, 47,藤田伸, 1.1, 54,  -2,* -6, 9, 57.1,⑬⑬⑪, 6, 1,Ｇベルテッセン, 66,長谷川, 0.6, 70,   6,   2,10,118.6,⑤⑨⑧, 6, 8,Ｃピサノパテック, 89,ホワイ, 0.3, 89,  18,   1, 3,  6.2,⑥⑥⑥, 6,12,Ｅエドノエスポワｰル, 70,菊沢隆, 1.9, 66,   3,   1, 9, 56.1,⑬⑬⑪
 7, 7,Ｆスカイラプタｰ, 58,大野拓, 1.4, 53,   3, -16,11, 91.9,⑦⑧⑦, 7,13,Ｃワイルドアフリカ, 74,四位洋, 0.7, 65,   9,  -4, 1,  3.0,⑦④③, 7, 3,Ｈタスカｰタソルテ, 86,横山典, 0.4, 88,  18,   0, 8, 13.9,⑥⑥⑥, 7, 3,Ｈパワｰコレクタｰ, 64,三浦皇, 1.9, 64,   4,  -2, 6, 11.8,⑫⑩⑨
 8, 1,Ｋスｰパｰワンダｰ, 45,菊沢隆, 1.6, 51,   1, -14,13,178.7,⑨⑪⑪, 8, 9,Ｌマルサンサイレンス, 57,丸田恭, 1.5, 60,   4,  -4,11,121.0,⑨⑫⑩, 8, 6,Ａミストラルクルｰズ, 89,三浦皇, 0.5, 87,  17,   1, 9, 14.7,⑥⑨⑩, 8, 7,Ｄニシエイビュレット, 70,丸田恭, 2.0, 63,   7,  -8, 2,  4.3,③④④
 9,12,Ｉハルカノタカ, 55,藤岡佑, 2.3, 47,   2, -21,10, 70.7,⑫⑨⑨, 9,10,Ｊボルガ, 64,荻野琢, 1.7, 59,*  9, -14,13,237.5,②②⑤, 9, 9,Ｆメイショウレガｰロ, 86,小林徹, 0.5, 86,* 22, -10, 7, 12.5,①①①, 9,13,Ｇフェスティヴマロン, 66,池添謙, 2.3, 61,*  9, -12, 7, 19.0,②②③
10, 4,Ｈアメリカンイｰグル, 56,荻野琢, 2.3, 47,   2, -23, 7, 36.5,⑨⑨⑨,10, 3,Ｍサチノオリｰブ, 54,菊沢隆, 2.0, 58,   4,  -7,12,139.6,⑬⑬⑩,10,13,Ｋセンカク, 83,池添謙, 0.9, 82,  18,  -7,14, 49.7,⑥⑥⑩,10, 1,Ｉシュンカジョウ, 64,津村明, 2.9, 58,   3,  -8,12, 90.0,⑩⑪⑪
