08年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,南港特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, バトルブレｰヴ,,菊地昇,,,,, 1,  2.2,⑤③①, 1, 1,Ｂリトルビスケット, 60,鮫島良,, 64,*  8,  -8, 1,  2.3, ①①, 1, 3,Ｂディｰプスピリット, 75,浜中俊,, 85,  17,*  1, 2,  3.6, ⑪⑨, 1, 2,Ｈトウショウモｰド, 64,角田晃,, 77,*  9,   3, 7, 17.2, ①①
 2, 9, ゴｰルデンシャイン,,西谷誠,205.3,,,, 2,  2.7,②①②, 2, 2,Ｊマルサンチｰフ, 52,芹沢純, 0.5, 57,   3,  -6, 4,  7.3, ⑧⑦, 2,18,Ａハンドレッドスコア, 78,川田将, 0.2, 78,* 23, -13, 1,  3.3, ③③, 2, 8,Ｃシュウボンバｰ, 73,田中健, 0.0, 77,*  7,*  5, 4,  8.1, ③②
 3, 8, エイシンボストン,,林満明,206.3,,,, 6, 28.2,④③③, 3,13,Ｌヤッパリグランプリ, 50,赤木高, 0.6, 55,  -2,* -2,13, 87.5, ⑪⑩, 3,10,Ｄキクカラヴリイ, 73,武豊  , 0.4, 79,  17,  -4, 3,  4.8, ⑪⑪, 3, 9,Ｂメイショウフウライ, 73,飯田祐, 0.1, 74,   1,*  9, 2,  5.5, ⑨⑨
 4, 4, オｰプンガｰデン,,田中剛,206.6,,,, 4, 10.3,⑧⑥⑤, 4, 8,Ｅマイネルフリｰデン, 55,田中克, 0.6, 58,*  6, -13, 8, 28.4, ②②, 4,14,Ｎケイエスユリ, 61,難波剛, 0.5, 77,  12,*  1,12,129.0, ⑭⑮, 4,11,Ｄライフストリｰム, 73,武豊  , 0.8, 69,   5,   0, 1,  2.5, ⑤④
 5,13, アドマイヤホｰプ,,北沢伸,206.9,,,, 7, 48.3,⑨⑨⑨, 5, 9,Ａウォｰタｰルフラン, 62,熊沢重, 0.7, 58,   6, -11, 3,  7.1, ④④, 5,11,Ｈジョニｰバロｰズ, 69,佐藤哲, 0.7, 74,  17,  -8, 8, 37.4, ⑬⑪, 5, 4,Ｊロングフォｰド, 64,浜中俊, 1.0, 64,  -1,   3, 6, 13.3, ⑫⑪
 6, 3, メイショウイグアス,,今村康,207.0,,,, 8, 56.8,⑨⑧⑤, 6,10,Ｋアグネススキャッブ, 51,岡部誠, 0.7, 56,   3,  -8, 7, 22.2, ⑧⑦, 6, 4,Ｏワキノハクオウ, 58,小牧太, 0.8, 75,  13,* -2,10, 75.1, ⑯⑮, 6, 1,Ｏタガノアルジェント, 55,田中克, 1.0, 66,   1,   1,15,163.4, ⑨⑪
 7, 1, コアレスプレジャｰ,,仲田雅,207.1,,,,11, 70.5,①②⑤, 7,12,Ｇスズカベｰブ, 53,武豊  , 0.7, 56,*  6, -13, 2,  4.7, ③②, 7,16,Ｇカシノマイケル, 71,田中克, 1.0, 70,  21, -21, 7, 33.5, ⑥⑥, 7, 7,Ａカリスマダンディｰ, 76,幸英明, 1.2, 64,   4,  -3, 8, 18.7, ⑤④
 8, 2, デイトレｰダｰ,,出津孝,207.5,,,,10, 67.4,⑥⑥⑤, 8, 6,Ｉシゲルエスペランサ, 52,田中健, 0.8, 56,   4, -11, 6, 18.1, ⑦⑥, 8, 8,Ｆカネトシソレイユ, 72,渡辺薫, 1.2, 70,  15, -13,13,142.5, ⑭⑭, 8, 6,Ｆミヤジレオン, 72,和田竜, 1.3, 66,*  8,  -8, 5,  8.5, ②②
