08年 8月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,羊蹄山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,
"単勝:180円 複勝:01=110円 05=660円 07=150円 枠連:2,320円",,,,,,,,,,,,"単勝:300円 複勝:11=150円 06=230円 16=370円 枠連:1,260円",,,,,,,,,,,,"単勝:2,610円 複勝:09=610円 13=330円 04=190円 枠連:5,110円",,,,,,,,,,,,"単勝:1,060円 複勝:03=190円 11=120円 06=210円 枠連:600円",,,,,,,,,,,
"馬連:3,480円 ワイド:01-05=1,160円 01-07=210円 05-07=1,950円",,,,,,,,,,,,"馬連:1,180円 ワイド:06-11=490円 11-16=790円 06-16=1,780円",,,,,,,,,,,,"馬連:11,410円 ワイド:09-13=3,150円 04-09=2,100円 04-13=1,050円",,,,,,,,,,,,馬連:920円 ワイド:03-11=360円 03-06=760円 06-11=320円,,,,,,,,,,,
"馬単:4,690円 3連複:3,970円 3連単:20,420円",,,,,,,,,,,,"馬単:2,000円 3連複:4,780円 3連単:15,710円",,,,,,,,,,,,"馬単:29,890円 3連複:21,980円 3連単:189,680円",,,,,,,,,,,,"馬単:2,850円 3連複:1,790円 3連単:13,330円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝2000m 3歳上ｵｰﾌﾟﾝ(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,札幌記念 ＧⅡ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａエナｰジバイオ, 67,丸田恭,, 63,   1,* 10, 3,  5.4,⑪⑨⑥, 1, 4,Ｂヴィアラクテア, 74,藤田伸,, 74,*  2,* 16, 1,  2.0,②②②, 1, 5,Ｆタスカｰタソルテ, 88,横山典,, 96,  18,* 27, 5, 12.5,⑧⑧⑦, 1, 3,Ｅアドマイヤプルｰト, 72,安藤勝,, 82,  -2,* 16, 1,  2.6, ⑦⑤
