10年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-5),,,,,,,,,,,
単勝:760円 複勝:15=170円 13=110円 02=300円 枠連:340円,,,,,,,,,,,,単勝:670円 複勝:08=220円 03=160円 15=520円 枠連:610円,,,,,,,,,,,,"単勝:2,240円 複勝:05=530円 10=660円 07=170円 枠連:5,140円",,,,,,,,,,,,"単勝:920円 複勝:03=320円 01=130円 05=160円 枠連:1,420円",,,,,,,,,,,
馬連:380円 ワイド:13-15=220円 02-15=990円 02-13=420円,,,,,,,,,,,,"馬連:1,250円 ワイド:03-08=500円 08-15=2,020円 03-15=1,350円",,,,,,,,,,,,"馬連:14,890円 ワイド:05-10=2,880円 05-07=1,540円 07-10=1,760円",,,,,,,,,,,,"馬連:1,300円 ワイド:01-03=670円 03-05=1,000円 01-05=340円",,,,,,,,,,,
"馬単:1,290円 3連複:1,590円 3連単:10,780円",,,,,,,,,,,,"馬単:3,080円 3連複:8,450円 3連単:40,440円",,,,,,,,,,,,"馬単:33,380円 3連複:26,460円 3連単:209,750円",,,,,,,,,,,,"馬単:3,650円 3連複:2,590円 3連単:18,070円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,小豆島特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, ワンダｰルストラｰ,,林満明,,,,, 1,  3.6,④④④, 1,17,Ｇミキノバンジョｰ, 56,太宰啓,, 72,* -6,* 10, 6, 26.7, ⑤③, 1,10,Ｇマイネルプルｰト, 73,和田竜,, 83,  -1,  18, 7, 19.4, ⑤⑤, 1, 1,Ｄアｰトオブビｰン, 72,国分恭,, 74,  12,  -3,11, 53.6, ⑤④
