10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:1),,,,,,,,,,,
単勝:310円 複勝:11=120円 15=110円 02=360円 枠連:240円,,,,,,,,,,,,単勝:820円 複勝:09=270円 01=170円 02=320円 枠連:630円,,,,,,,,,,,,"単勝:1,840円 複勝:07=300円 03=150円 10=110円 枠連:1,710円",,,,,,,,,,,,単勝:350円 複勝:02=120円 09=140円 06=150円 枠連:390円,,,,,,,,,,,
馬連:230円 ワイド:11-15=150円 02-11=770円 02-15=640円,,,,,,,,,,,,"馬連:1,830円 ワイド:01-09=670円 02-09=1,760円 01-02=550円",,,,,,,,,,,,"馬連:4,640円 ワイド:03-07=980円 07-10=480円 03-10=200円",,,,,,,,,,,,馬連:600円 ワイド:02-09=250円 02-06=270円 06-09=360円,,,,,,,,,,,
"馬単:560円 3連複:1,370円 3連単:4,700円",,,,,,,,,,,,"馬単:3,830円 3連複:4,790円 3連単:27,610円",,,,,,,,,,,,"馬単:9,350円 3連複:1,560円 3連単:23,940円",,,,,,,,,,,,"馬単:1,230円 3連複:870円 3連単:3,880円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,清滝特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂリフトザウイングス, 56,武豊  ,, 62,*  0,  -6, 1,  1.3,⑥④③, 1, 9,Ｄピノブラン, 73,川須栄,, 78,*  5,* 10, 6, 14.6, ②②, 1, 2,Ｇカミダノミ, 73,小牧太,, 77,* -3,   9, 6, 18.7, ①①, 1, 6,Ｉメモリｰパフィア, 72,国分恭,, 83,* 13,   0, 2,  6.7, ①①
 2, 6,Ｇゴｰルドブライアン, 38,北村友, 0.1, 63,  -1,* -3, 2,  5.6,⑦⑥⑥, 2, 7,Ａシュテルンタｰラｰ, 82,浜中俊, 0.4, 76,   1,* 11, 1,  2.2, ⑧⑩, 2, 3,Ａメイショウウズシオ, 83,飯田祐, 0.0, 81,  -5,  13, 3,  4.6, ③④, 2, 2,Ａダノンプログラマｰ, 81,熊沢重, 0.2, 81,   7,   7, 1,  2.4, ⑥⑤
 3, 1,Ａバンブｰチェルシｰ, 57,和田竜, 0.4, 59,*  0, -12, 3,  6.3,②②①, 3, 4,Ｍプティマカロン, 56,国分恭, 0.9, 72,   3,   4, 9, 70.8, ⑤⑥, 3, 1,Ｂタムロスカイ, 81,佐藤哲, 0.0, 80,  -7,* 16, 2,  4.1, ⑥⑥, 3, 8,Ｆアディアフォｰン, 75,高倉稜, 0.4, 78,   5,   7, 4,  8.9, ⑧⑧
 4, 7,Ｃジョウショｰドン, 54,岩崎祐, 1.2, 52,  -1, -17, 5, 27.1,③⑤⑤, 4, 5,Ｐオウハ, 46,熊沢重, 1.2, 72,  -1,*  7,12,124.9, ⑫⑫, 4, 8,Ｃフサイチオフトラ, 79,藤田伸, 0.1, 78,* -4,  10, 4,  5.1, ②②, 4, 4,Ｄワイドサファイア, 77,鮫島良, 0.4, 78,   5,   6, 3,  7.2, ⑦⑦
 5, 4,Ｄスズカマジェスタ, 50,古川吉, 1.3, 51,*  0, -24, 4, 21.8,⑤③②, 5,13,Ｂワンダｰフウラン, 75,高倉稜, 1.4, 65,  -1,   3, 4,  8.5, ⑩⑨, 5, 5,Ｈテツキセキ, 71,内田博, 0.2, 80,  -5,  12, 8, 47.6, ⑤⑤, 5, 3,Ｊメイショウジェイ, 72,飯田祐, 0.5, 78,   3,   8, 6, 12.7, ⑨⑨
 6, 8,Ｆニュｰブライトリｰ, 39,幸英明, 1.7, 46,*  0, -29, 8,102.8,①①④, 6, 3,Ｊピエナリリｰ, 65,太宰啓, 1.6, 66,  -3,   6,14,212.9, ⑮⑮, 6, 9,Ｆネオポラリス, 74,浜中俊, 0.2, 79,  -7,* 14, 5,  7.0, ⑦⑦, 6, 9,Ｃハｰリカ, 78,柴原央, 0.5, 76,   1,*  9, 9, 20.9, ⑩⑩
