10年 8月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-4),,,,,,,,,,,
"単勝:740円 複勝:01=290円 11=370円 07=400円 枠連:6,440円",,,,,,,,,,,,"単勝:1,000円 複勝:05=300円 08=500円 11=140円 枠連:5,080円",,,,,,,,,,,,"単勝:610円 複勝:14=180円 10=140円 03=110円 枠連:1,740円",,,,,,,,,,,,単勝:350円 複勝:08=160円 05=250円 09=270円 枠連:820円,,,,,,,,,,,
"馬連:6,160円 ワイド:01-11=2,030円 01-07=1,620円 07-11=2,790円",,,,,,,,,,,,"馬連:10,330円 ワイド:05-08=2,390円 05-11=770円 08-11=1,140円",,,,,,,,,,,,"馬連:2,090円 ワイド:10-14=570円 03-14=290円 03-10=230円",,,,,,,,,,,,"馬連:1,430円 ワイド:05-08=580円 08-09=690円 05-09=1,090円",,,,,,,,,,,
"馬単:10,860円 3連複:22,370円 3連単:104,210円",,,,,,,,,,,,"馬単:16,950円 3連複:9,510円 3連単:81,290円",,,,,,,,,,,,"馬単:4,630円 3連複:1,180円 3連単:12,230円",,,,,,,,,,,,"馬単:2,900円 3連複:4,220円 3連単:20,290円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪﾆｯｸｽ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, スタｰフォワｰド,,北沢伸,,,,, 1,  2.2,④②②, 1, 8,Ｋハバタクテｰラｰ, 49,松山弘,, 69,*  9,   1, 4, 10.4, ①①, 1, 5,Ｂシゲルキョクチョウ, 62,高倉稜,, 67,*  9,   2, 3,  6.8, ①①, 1,10,Ｃナリタシャトル, 70,幸英明,, 72, -17,  23, 3,  4.3,④④③
 2,12, トｰセンウｰノ,,難波剛,193.4,,,, 3,  5.3,①①①, 2,10,Ｉクニサキロンチｰ, 52,酒井学, 0.0, 70,*  8,   2,14, 87.0, ②②, 2, 9,Ａブラウンワイルド, 79,浜中俊, 0.4, 62,  -1,*  8, 1,  1.3, ⑥④, 2, 7,Ｂセキサンダンスイン, 70,高倉稜, 0.0, 74, -17,* 25, 2,  3.8,⑥⑥⑦
 3, 9, エルチョコレｰト,,白浜雄,193.9,,,, 4, 14.4,⑧⑦⑤, 3, 6,Ｃマイルストｰン, 56,小林慎, 0.1, 69,   4,*  5, 6, 16.0, ④④, 3, 2,Ｅセキサンキセキ, 48,和田竜, 0.8, 57,  -1,   2, 5, 19.2, ④⑥, 3, 8,Ｄファミリズム, 70,藤岡康, 0.1, 70,*-16,  20, 5, 10.1,②②②
