10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｌグルｰヴィクイｰン, 64,藤岡佑, 1.3, 66,  -7,   6,12, 76.3, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｎクリアンサス, 62,渡辺薫, 1.5, 61,  -7,  -2,17,237.5, ⑯⑯
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:3),,,,,,,,,,,
"単勝:410円 複勝:04=220円 11=1,480円 01=260円 枠連:3,530円",,,,,,,,,,,,単勝:360円 複勝:02=130円 09=110円 01=210円 枠連:220円,,,,,,,,,,,,"単勝:1,170円 複勝:12=270円 02=450円 04=120円 枠連:2,610円",,,,,,,,,,,,"単勝:160円 複勝:11=110円 04=330円 18=740円 枠連:1,120円",,,,,,,,,,,
"馬連:24,030円 ワイド:04-11=5,860円 01-04=600円 01-11=5,400円",,,,,,,,,,,,馬連:230円 ワイド:02-09=160円 01-02=480円 01-09=420円,,,,,,,,,,,,"馬連:10,130円 ワイド:02-12=2,340円 04-12=450円 02-04=940円",,,,,,,,,,,,"馬連:1,260円 ワイド:04-11=450円 11-18=1,230円 04-18=4,230円",,,,,,,,,,,
"馬単:38,550円 3連複:47,060円 3連単:318,060円",,,,,,,,,,,,"馬単:640円 3連複:890円 3連単:3,030円",,,,,,,,,,,,"馬単:21,120円 3連複:6,690円 3連単:73,850円",,,,,,,,,,,,"馬単:1,490円 3連複:9,200円 3連単:24,540円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■12R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾘｶ賞,,,,,,,,,,,,阪神ｳｲﾝﾀｰﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃボストンエンペラｰ, 55,和田竜,, 59,  -7,*  8, 3, 10.4, ④⑤, 1, 1,Ｏゴルトブリッツ, 61,藤田伸,, 90,*  9,* 18, 1,  3.1,①①①, 1, 4,Ａスマｰトロビン, 72,内田博,, 78,*-18,* 25, 2,  4.5,①①①, 1, 1,Ｂワｰルドワイド, 86,デムｰ,, 88,*  6,* 20, 1,  3.0, ③③
 2,14,Ｇウルル, 53,内田博, 0.1, 57,* -5,   4, 2,  3.9, ③②, 2, 2,Ｄビｰチランデブｰ, 76,デムｰ, 1.2, 80,*  9,* 10, 2,  3.1,③③③, 2, 6,Ｂユニバｰサルバンク, 69,福永祐, 0.2, 76,*-17,  24, 4,  6.2,②②②, 2,13,Ａメトロノｰス, 93,内田博, 0.1, 89,*  7,* 18, 2,  3.6, ②②
 3,11,Ｂコマノスクアｰロ, 56,松岡正, 0.1, 58,  -7,*  8, 9, 22.0, ⑥⑥, 3, 3,Ｂグッドカレラ, 78,岡部誠, 1.9, 75,*  8,   3, 6, 13.9,②②②, 3, 2,Ｇトｰセンラｰ, 63,武豊  , 0.3, 76, -18,* 26, 3,  4.8,③③④, 3, 8,Ｉマルブツサクラオｰ, 80,渡辺薫, 0.6, 84,*  7,  13, 8, 48.0, ①①
 4, 2,Ａエアクロニクル, 64,デムｰ, 0.4, 55, -12,* 10, 1,  1.9, ⑭⑫, 4, 4,Ｇサクラブライアンス, 73,藤岡佑, 1.9, 77,   8,   5, 7, 18.2,④⑤④, 4, 3,Ｆサトノパンサｰ, 66,和田竜, 0.5, 74, -20,  24, 8, 40.2,⑤⑤⑤, 4, 4,Ｇブラッシュアップ, 81,古川吉, 0.9, 82,   3,  15,10, 86.6, ⑪⑦
 5, 4,Ｊテイクアベット, 51,吉田豊, 0.4, 51,* -5,  -1, 6, 17.2, ①①, 5, 5,Ｆオリエンタルコｰル, 73,酒井学, 1.9, 79,   7,   7, 8, 18.5,⑥⑦⑥, 5, 8,Ｅヴィクトリｰスタｰ, 66,松岡正, 0.5, 73, -19,  21, 5, 11.0,④④③, 5, 9,Ｄサウンドアクシス, 85,松岡正, 1.3, 78,   1,  14, 4,  7.7, ⑩⑫
