10年 8月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:180円 複勝:08=110円 04=340円 10=110円 枠連:2,350円",,,,,,,,,,,,"単勝:2,070円 複勝:14=490円 12=180円 10=2,300円 枠連:480円",,,,,,,,,,,,"単勝:1,940円 複勝:14=270円 13=110円 16=590円 枠連:930円",,,,,,,,,,,,"単勝:260円 複勝:04=130円 02=220円 07=440円 枠連:1,090円",,,,,,,,,,,
"馬連:2,950円 ワイド:04-08=910円 08-10=160円 04-10=1,190円",,,,,,,,,,,,"馬連:4,380円 ワイド:12-14=1,620円 10-14=11,570円 10-12=5,620円",,,,,,,,,,,,"馬連:980円 ワイド:13-14=450円 14-16=4,180円 13-16=1,120円",,,,,,,,,,,,"馬連:1,010円 ワイド:02-04=460円 04-07=1,350円 02-07=2,850円",,,,,,,,,,,
"馬単:3,750円 3連複:2,390円 3連単:15,040円",,,,,,,,,,,,"馬単:10,110円 3連複:90,880円 3連単:577,980円",,,,,,,,,,,,"馬単:3,190円 3連複:8,080円 3連単:56,630円",,,,,,,,,,,,"馬単:1,550円 3連複:10,300円 3連単:36,940円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,伊万里特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12, シンボリルマン,---,川田将,, 51,  -9,*  7, 4, 11.1, ⑪⑩, 1, 6,Ａトウカイブラスト, 70,熊沢重,, 63,*  4,  -2, 1,  3.1,①①①, 1, 4,Ａキョウワマグナム, 81,小牧太,, 74,  -6,  13, 1,  2.1, ④④, 1, 5,Ｃエトピリカ, 69,和田竜,, 69,   4,   6, 4,  5.6, ⑦⑦
 2, 3, レディナデシコ,---,藤岡康, 0.2, 51,  -5,*  2, 3,  6.4, ⑨⑧, 2, 7,Ｂツルマルヤマト, 66,和田竜, 0.0, 63,*  4,* -1, 4,  6.6,②②②, 2, 9,Ｊトシキャンディ, 61,川田将, 0.0, 75,* -2,  10, 9, 41.5, ①①, 2,14,Ａエイシンフェアリｰ, 72,高倉稜, 0.1, 68,*  8,   0, 1,  3.2, ④③
 3,10,Ｈカシノカルミア, 48,幸英明, 0.2, 52,  -2,   0, 9, 42.9, ⑥⑥, 3, 9,Ｃジパングダマシイ, 64,浜中俊, 0.2, 61,   1,*  3, 2,  3.4,⑨⑨⑦, 3, 2,Ｂシルクナデシコ, 71,藤岡康, 0.1, 75,  -8,* 15, 2,  4.0, ⑨⑤, 3, 2,Ｂビスカヤ, 69,浜中俊, 0.1, 69,   6,   4, 2,  4.3, ⑤④
