10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｊナイキアプロｰド, 73,伊藤工, 1.9, 63,* 22, -28,16,173.9, ②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,
"単勝:11,210円 複勝:05=2,740円 07=200円 06=140円 枠連:680円",,,,,,,,,,,,単勝:310円 複勝:07=120円 10=150円 01=120円 枠連:440円,,,,,,,,,,,,"単勝:2,400円 複勝:09=940円 02=310円 17=880円 枠連:3,890円",,,,,,,,,,,,"単勝:360円 複勝:09=160円 03=150円 08=3,760円 枠連:390円",,,,,,,,,,,
"馬連:34,700円 ワイド:05-07=9,280円 05-06=5,840円 06-07=330円",,,,,,,,,,,,馬連:690円 ワイド:07-10=260円 01-07=170円 01-10=290円,,,,,,,,,,,,"馬連:14,610円 ワイド:02-09=3,850円 09-17=7,260円 02-17=3,700円",,,,,,,,,,,,"馬連:500円 ワイド:03-09=240円 08-09=10,370円 03-08=8,690円",,,,,,,,,,,
"馬単:105,120円 3連複:28,640円 3連単:602,020円",,,,,,,,,,,,"馬単:1,330円 3連複:540円 3連単:3,080円",,,,,,,,,,,,"馬単:30,790円 3連複:106,040円 3連単:622,310円",,,,,,,,,,,,"馬単:1,140円 3連複:38,360円 3連単:157,190円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,東京ﾊｲｼﾞｬﾝﾌﾟ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｈプレミアムパス, 44,丸田恭,, 49,  -2,  -2,11,101.9, ⑥⑥, 1,13,Ｂセンジンジョｰ, 77,松岡正,, 72,*  2,   8, 3,  4.2, ④③, 1,10, イコｰルパｰトナｰ,,中村将,,,,,12, 55.4,⑥⑥⑤, 1, 1,Ｂサンデｰミュｰズ, 83,武豊  ,, 87, -11,* 28, 1,  3.0,⑪⑪⑩
