10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,彦島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,
単勝:290円 複勝:05=120円 01=110円 06=450円 枠連:270円,,,,,,,,,,,,"単勝:710円 複勝:04=290円 08=340円 06=1,480円 枠連:640円",,,,,,,,,,,,"単勝:1,160円 複勝:11=360円 18=680円 02=280円 枠連:1,430円",,,,,,,,,,,,"単勝:640円 複勝:02=210円 14=280円 03=140円 枠連:2,850円",,,,,,,,,,,
"馬連:240円 ワイド:01-05=150円 05-06=1,020円 01-06=870円",,,,,,,,,,,,"馬連:4,450円 ワイド:04-08=1,780円 04-06=5,500円 06-08=7,300円",,,,,,,,,,,,"馬連:9,800円 ワイド:11-18=2,790円 02-11=1,470円 02-18=2,590円",,,,,,,,,,,,"馬連:3,300円 ワイド:02-14=1,160円 02-03=480円 03-14=670円",,,,,,,,,,,
"馬単:530円 3連複:2,270円 3連単:7,450円",,,,,,,,,,,,"馬単:7,950円 3連複:57,860円 3連単:244,370円",,,,,,,,,,,,"馬単:17,180円 3連複:27,420円 3連単:161,970円",,,,,,,,,,,,"馬単:6,320円 3連複:3,520円 3連単:29,490円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企救丘特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃコスモヘイガｰ, 63,北村友,, 61,   4,*-12, 4,  7.9,⑦⑧⑧, 1, 5,Ｉドリｰムバスケット, 70,田辺裕,, 77,*  2,* 13, 2,  6.0,⑥⑤⑥, 1, 4,Ｂディアトウシロウ, 74,伊藤直,, 71,   5,*  3, 1,  3.4,⑩⑥④, 1, 3,Ｃハジメレンジャｰ, 78,赤木高,, 76,   4,  11, 2,  4.2,⑥⑤⑤
 2, 7,Ｐレッドシェリフ, 43,上村洋, 0.0, 62,   4, -14, 6, 25.0,⑩⑦⑦, 2, 9,Ａアｰバンウィナｰ, 81,丸田恭, 0.1, 76,*  1,* 11, 3,  6.9,⑩⑦④, 2,16,Ｃゴｰアップドラゴン, 73,嘉藤貴, 0.0, 71,   3,*  6, 5, 12.2,⑭⑩⑨, 2,13,Ｂロｰレルレガリス, 78,中舘英, 0.0, 76,*  5,  10, 1,  2.4,②③②
 3,10,Ｅザルグｰン, 62,中舘英, 0.1, 61,*  7, -20, 3,  5.2,②②②, 3, 4,Ｅアドマイヤタイシ, 73,上村洋, 0.2, 77,*  1,  10, 6, 11.5,⑤④⑤, 3, 6,Ａベストフェット, 75,田辺裕, 0.0, 68,*  7,  -2, 2,  4.5,③②②, 3, 9,Ｄアキノグロｰブ, 77,丸田恭, 0.1, 75,   2,* 15, 4,  7.7,⑫⑪⑩
 4,17,Ｄトップシュｰル, 63,高倉稜, 0.3, 59,   2,*-10, 5, 22.8,⑮⑭⑭, 4, 7,Ｈミッドタウンレディ, 70,中舘英, 0.3, 74,*  3,   4, 1,  2.3,①①①, 4,11,Ｇキョウエイナゲット, 69,西田雄, 0.1, 71,   4,*  5,10, 29.1,⑬⑫⑤, 4, 2,Ｆコスモナダル, 73,西田雄, 0.2, 76,   4,  10, 8, 30.4,⑤④③
