10年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,大阪ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,140円 複勝:06=310円 04=130円 03=260円 枠連:1,220円",,,,,,,,,,,,単勝:500円 複勝:10=160円 06=130円 02=220円 枠連:620円,,,,,,,,,,,,"単勝:400円 複勝:04=170円 13=810円 10=300円 枠連:3,580円",,,,,,,,,,,,単勝:300円 複勝:10=140円 04=170円 06=150円 枠連:880円,,,,,,,,,,,
"馬連:1,590円 ワイド:04-06=630円 03-06=1,260円 03-04=490円",,,,,,,,,,,,馬連:550円 ワイド:06-10=270円 02-10=700円 02-06=560円,,,,,,,,,,,,"馬連:6,090円 ワイド:04-13=1,620円 04-10=740円 10-13=2,900円",,,,,,,,,,,,"馬連:1,040円 ワイド:04-10=340円 06-10=330円 04-06=390円",,,,,,,,,,,
"馬単:4,080円 3連複:4,320円 3連単:31,340円",,,,,,,,,,,,"馬単:1,380円 3連複:2,020円 3連単:9,210円",,,,,,,,,,,,"馬単:9,920円 3連複:13,660円 3連単:77,470円",,,,,,,,,,,,"馬単:1,610円 3連複:1,160円 3連単:5,470円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 9R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,夕月特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, ゴｰビハインド,,今村康,,,,, 2,  2.8,③③③, 1, 7,Ａサｰノ, 66,浜中俊,, 69,*  0,* 15, 2,  4.7,④④③, 1, 6,Ａクｰデグレイス, 80,幸英明,, 83,  14,*  9, 1,  3.1, ④④, 1, 4,Ｄブルロック, 73,佐藤哲,, 75,  -4,* 17, 1,  3.8,③③③
 2, 4, オミヤゲ,,中村将,203.7,,,, 1,  2.5,②②②, 2,13,Ｄレインボｰロｰズ, 64,北村友, 0.0, 69,* -1,* 14, 3,  4.8,⑤⑤④, 2, 4,Ｇクリスティロマンス, 74,藤岡佑, 0.0, 83,* 16,   3, 5,  7.4, ①①, 2,12,Ｂエタｰナルロブロイ, 76,福永祐, 0.0, 74,  -5,* 19, 2,  3.8,⑧⑦⑥
 3, 7, スカイボｰイング,,岩崎祐,204.2,,,, 3,  4.1,④④④, 3,10,Ｇダノンゲットウィン, 60,佐藤哲, 0.2, 68,*  1,* 11, 1,  2.9,②②②, 3, 8,Ｆコンカラン, 75,川田将, 0.2, 81,* 15,   3, 2,  3.6, ③②, 3, 9,Ａユジェニックブルｰ, 76,和田竜, 0.1, 74,* -2,  13, 4,  6.4,②②②
 4, 8, ハマノツｰステップ,,難波剛,205.0,,,, 9,129.0,⑤⑤⑤, 4, 2,Ｅビリｰロック, 64,川田将, 1.0, 63,  -2,   9, 6, 11.6,⑥⑦⑦, 4, 2,Ｄアンプレシオネ, 78,佐藤哲, 0.3, 78,  14,   5, 8, 34.3, ②③, 4,10,Ｃファイナルパンチ, 76,小牧太, 0.3, 71,  -4,  15, 3,  6.1,④④④
