10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 4,Ｄキュｰト, 56,藤岡佑, 0.3, 67,*  0,   3, 2,  4.6, ②②, 2,11,Ｆチェアユｰアップ, 68,丸田恭, 0.1, 63,   0,   3, 3,  5.3, ⑥④, 2,12,Ｈジャミｰル, 85,安藤勝, 0.6, 86,  13,   8, 1,  5.2,⑧⑧⑧, 2, 8,Ｉウインブシドウ, 74,ホワイ, 0.3, 82,*  5,  17, 5,  7.1,②②②
 3, 9,Ａピｰスオブケイク, 62,大野拓, 0.6, 60,  -8,*  6, 1,  2.2, ⑥⑥, 3, 6,Ｇトップアテンション, 66,藤岡佑, 0.1, 62,  -3,*  4, 6, 16.5, ⑤⑥, 3, 8,Ｆドリｰムサンデｰ, 87,池添謙, 0.6, 84,* 17,  -1, 5,  8.5,②②①, 3, 4,Ｃスズカフレｰム, 85,藤岡佑, 0.3, 85,   2,* 23, 2,  4.7,⑨⑧⑥
 4, 1,Ｊニシノフィリア, 45,荻野琢, 0.7, 62,  -4,   2, 3,  7.1, ④③, 4, 3,Ｉスピｰルナカヤマ, 60,小野次, 0.3, 60,   0,   0, 7, 17.6, ④⑤, 4,11,Ｃエアジパング, 90,横山典, 0.7, 82,  13,   6,11, 22.6,⑨⑨⑦, 4, 5,Ｂキティ, 85,荻野琢, 0.4, 83,   4,  18, 3,  5.3,③④④
 5, 3,Ｈヤマノトップラン, 50,秋山真, 1.0, 57, -14,*  6, 7, 24.8, ⑪⑨, 5, 9,Ｈドナルドバロｰズ, 64,吉田隼, 0.5, 58,  -8,*  4, 4,  8.1, ⑨⑨, 5,16,Ｊフィｰルドベアｰ, 83,秋山真, 0.7, 85,  10,* 13, 3,  6.1,⑫⑬⑨, 5, 7,Ｅショウサンウルル, 79,芹沢純, 0.7, 77,*  5,  13, 6, 11.9,①①①
 6, 2,Ｅメイショウヴァルナ, 54,武幸四, 1.1, 59,  -9,   2, 6, 18.7, ⑧⑦, 6, 5,Ａスマｰトマグナム, 74,村田一, 0.8, 56,*  6,  -8, 1,  2.6, ①①, 6, 3,Ａマンハッタンスカイ, 91,武幸四, 0.8, 81,* 15,  -1, 6, 12.2,③④④, 6, 3,Ｇチャリティショウ, 79,吉田隼, 1.2, 78,   2,  15, 9, 61.8,⑧⑦⑧
 7, 5,Ｇトミケンダンク, 52,勝浦正, 1.3, 54, -12,   3,10, 74.8, ⑩⑧, 7, 7,Ｄピュアマリｰン, 70,芹沢純, 0.8, 54,  -9,   2, 8, 18.3, ⑩⑦, 7, 4,Ｄメイショウクオリア, 89,長谷川, 0.8, 83,  14,   1, 8, 14.2,⑤⑤⑤, 7, 2,Ｆツルマルネオ, 79,池添謙, 1.3, 75,   3,  11, 7, 14.1,⑥⑤⑤
 8,10,Ｆグランデメディコ, 54,上村洋, 1.5, 54,  -5,  -4, 8, 31.8, ⑤④, 8, 1,Ｋグレイシス, 52,西村太, 0.9, 54,  -6,  -1,10,212.6, ⑧⑧, 8, 7,Ｌマヤノライジン, 82,藤田伸, 0.9, 80,* 15,  -4,10, 20.7,④③②, 8, 6,Ｄジョｰプライド, 83,丸山元, 1.6, 74,   2,  11, 4,  5.6,⑦⑨⑨
 9, 8,Ｂエイシンロックオン, 61,藤田伸, 1.8, 50,  -3,  -9, 4,  7.1, ③⑤, 9, 4,Ｂアグネスポライト, 74,丸山元, 1.0, 52, -11,   1, 5,  9.4, ⑪⑪, 9, 2,Ｉスズカサンバ, 84,吉田隼, 0.9, 82,   8,* 13, 9, 15.9,⑭⑭⑭, 9, 9,Ｈモアザンスマｰト, 77,四位洋, 2.9, 63,   4,  -3, 8, 37.0,⑤⑥⑦
10,12,Ｋトウショウエホバ, 32,黛弘人, 2.4, 44, -11,  -8,11,241.0, ⑨⑪,10,10,Ｌコンスヴァｰル, 50,酒井学, 1.7, 48,   2, -13, 9, 19.3, ③③,10, 5,Ｅシャドウゲイト, 89,田中勝, 0.9, 84,   7,* 16, 4,  8.3,⑯⑮⑮,,,,,,,,,,,,
11,11,Ｉシゲカツパワｰ, 48,古川吉, 2.4, 43,  -8, -10, 9, 73.2, ⑦⑩,11,12,Ｊキタグニノホシ, 53,黛弘人, 2.3, 40,  -4, -15,11,222.6, ⑦⑩,11, 1,Ｋエイシンドｰバｰ, 83,柴山雄, 0.9, 82,  14,   1,15, 83.9,⑥⑦⑥,,,,,,,,,,,,
