10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 3R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,京橋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, タイカｰリアン,,北沢伸,,,,, 3,  7.8,②②①, 1,18,Ｎスズノブレイヴ, 52,川田将,, 83,*  9,*  2, 8, 19.7,①①①, 1, 5,Ｈドリｰムキュｰブ, 75,ウィリ,, 74,*  8,  -7, 7, 14.7,①①①, 1, 9,Ｏメイショウテキｰラ, 65,川田将,, 76,   2,* 13,12, 30.8, ⑧⑧
 2, 4, アスカノユタカ,,小坂忠,202.0,,,, 2,  2.8,①①②, 2, 2,Ｂドミネｰタｰ, 65,佐藤哲, 0.9, 73,   5,*  2, 1,  2.9,⑬⑩⑤, 2, 4,Ｃグッドバニヤン, 79,岩田康, 0.2, 76,   3,*  3, 4,  9.4,⑦⑦⑥, 2,10,Ａワンダｰキラメキ, 78,佐藤哲, 0.1, 74,*  8,   4, 2,  7.3, ②②
 3, 2, トップフリｰダム,,白浜雄,203.8,,,, 1,  2.7,⑦⑤④, 3, 4,Ｈシｰスナイプ, 55,北村友, 1.1, 73,*  8,  -8, 7, 14.3,⑤④④, 3, 9,Ｂフィッツロイ, 80,佐藤哲, 0.2, 73,   4,   0, 3,  7.0,⑨⑥⑤, 3,12,Ｂトウカイセレブ, 76,川須栄, 0.2, 73,*  8,   4,10, 23.2, ③③
 4, 7, アイアングリｰン,,林満明,204.9,,,, 4,  9.1,④④⑤, 4,10,Ａセレナデスタン, 72,岩田康, 1.1, 73,   5,* -3, 2,  3.8,⑪⑦⑨, 4, 1,Ｆエナｰジバイオ, 78,幸英明, 0.3, 75,   1,*  5, 5, 12.1,⑩⑩⑩, 4, 8,Ｊアンヴァルト, 71,岩田康, 0.5, 72,   3,   7, 1,  2.8, ⑦⑦
 5, 8, ファンドリゲット,,出津孝,205.0,,,, 5,  9.5,⑧⑦⑦, 5,13,Ｄトライアンフウィル, 61,池添謙, 1.7, 67,   7, -14, 6, 12.1,⑥⑥⑥, 5,11,Ａヤマニンウイスカｰ, 80,和田竜, 0.5, 71,   5,  -7, 1,  2.7,⑤③③, 5,13,Ｅイチオカ, 74,福永祐, 0.6, 70,   0,   9, 8, 19.7, ⑫⑪
 6, 5, テイエムエルドラゴ,,佐久間,205.2,,,, 7, 25.3,③③③, 6,11,Ｃジョｰアイデア, 64,幸英明, 1.8, 66,*  8, -18, 4,  9.3,④⑤③, 6, 2,Ｄトゥリオンファｰレ, 79,川田将, 0.8, 68,   4, -10, 2,  2.8,④④④, 6, 7,Ｄイチエイクリッパｰ, 75,ウィリ, 0.6, 70,   6,   2, 7, 16.4, ④④
 7, 9, ギガブレイク,,今村康,205.9,,,, 6, 13.0,⑥⑥⑥, 7, 9,Ｆヤマカツセイリュウ, 56,太宰啓, 2.2, 62,   5, -16, 5, 10.8,⑩⑫⑦, 7, 6,Ｉヴェルトマイスタｰ, 71,池添謙, 0.8, 67,*  6, -15, 8, 34.4,②②②, 7,11,Ｃナショナルヒｰロｰ, 76,池添謙, 0.6, 70,   5,   3, 4,  8.1, ⑤⑤
