10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-29,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬連:1,170円 ワイド:15-18=430円 12-18=830円 12-15=540円",,,,,,,,,,,,"馬連:8,730円 ワイド:01-13=1,990円 01-04=700円 04-13=2,060円",,,,,,,,,,,,"馬連:2,780円 ワイド:08-12=950円 10-12=210円 08-10=1,280円",,,,,,,,,,,,馬連:500円 ワイド:03-12=220円 01-12=630円 01-03=580円,,,,,,,,,,,
"馬単:2,590円 3連複:2,630円 3連単:16,120円",,,,,,,,,,,,"馬単:13,680円 3連複:14,800円 3連単:94,540円",,,,,,,,,,,,"馬単:4,070円 3連複:2,870円 3連単:16,470円",,,,,,,,,,,,"馬単:790円 3連複:1,740円 3連単:5,160円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,指宿特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, エルジャンクション,,林満明,,,,, 2,  3.2,②①①, 1, 3,Ａエクスペディション, 73,北村友,, 68,  -4,*  9, 1,  1.5,⑫⑪⑩, 1, 7,Ｃヒカリアスティル, 77,北村友,, 72,   3,* 10, 5, 11.0,⑧⑩⑩, 1,12,Ａプリンセスペスカ, 75,幸英明,, 72,*  2,* 12, 2,  4.5,④②②
 2, 5, マストビｰトゥルｰ,,西谷誠,190.8,,,, 1,  2.6,③②②, 2,15,Ｉプリンセスメイク, 49,田嶋翔, 0.4, 60,  -1,  -4, 8, 78.1,⑤⑤③, 2, 1,Ｇアキノグロｰブ, 73,福永祐, 0.0, 70,   2,* 11, 6, 13.2,⑩⑨⑧, 2,10,Ｄクイックメｰル, 70,小牧太, 0.2, 68,*  3,   9, 4,  7.3,②①①
 3, 3, セフティファンキｰ,,南井大,190.9,,,, 4,  6.3,④③③, 3, 2,Ｆアッシュｰル, 57,川須栄, 0.4, 61,  -3,*  0, 5, 18.9,⑧⑨⑨, 3, 2,Ｅヒｰロｰ, 74,川田将, 0.1, 70,   3,   8, 1,  3.0,⑮⑧⑦, 3, 4,Ｂトミケンプライマリ, 72,国分恭, 0.5, 69,  -1,* 12, 1,  1.9,⑩⑦⑦
 4, 2, チョウバクシン,,黒岩悠,195.0,,,, 8, 48.3,⑤⑤④, 4,10,Ｍヤサワ, 46,藤岡康, 0.5, 59,*  2, -10, 6, 38.6,①①①, 4,16,Ｄファイナルパンチ, 75,小牧太, 0.2, 67,   4,   6, 9, 35.1,⑫⑦⑨, 4, 8,Ｌエスジｰセブンティ, 48,和田竜, 0.6, 69,   1,   9, 9, 49.1,⑤④④
 5, 4, エルチョコレｰト,,高野容,195.5,,,, 5,  7.5,⑧⑦⑥, 5,16,Ｃダイワシュガｰ, 60,佐藤哲, 0.5, 59,  -2,  -2,10, 81.3,⑦⑦⑤, 5, 6,Ｌサンマルボス, 66,和田竜, 0.2, 70,   5,   5,12, 69.1,④④⑤, 5,11,Ｃアマゾネスバイオ, 72,松田大, 0.7, 69,   0,   8, 3,  6.7,⑥⑤⑥
