10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, セトノシャンクス,---,小牧太,, 57,  -2,* -4, 5, 14.6, ⑤⑤, 1, 7,Ｂマコトヴォイジャｰ, 76,安藤勝,, 82,  11,*  3, 2,  4.4, ⑨⑨, 1, 4,Ｂテイエムオｰロラ, 83,幸英明,, 92,*  1,  21, 2,  3.5, ②②, 1, 8,Ｆオレンジティアラ, 70,小牧太,, 80,* 12,   7, 7, 12.8, ①①
 2, 5, バｰジニアキャット,---,福永祐, 0.0, 59,*  2,  -7, 3,  5.1, ②②, 2, 6,Ｄマイネアロマ, 74,和田竜, 0.2, 79,  15,  -7, 4, 10.4, ⑤④, 2, 5,Ｇダブルウェッジ, 77,小牧太, 0.0, 92,  -2,* 25, 5, 13.9, ④④, 2, 4,Ａアルｰリングムｰン, 76,高倉稜, 0.2, 77,  -1,* 18, 1,  3.4, ⑧⑧
 3, 2, ダッシャｰワン,---,佐藤哲, 0.3, 57,*  2, -11, 2,  3.7, ①①, 3,10,Ｃアドマイヤセナ, 76,川田将, 0.4, 77,  12,  -5, 1,  1.8, ⑥⑥, 3, 6,Ｄサザンギャラクシｰ, 79,武豊  , 0.6, 86,  -3,  19, 3,  6.7, ⑤⑤, 3, 2,Ｄカイシュウボナンザ, 74,川田将, 0.3, 77,   6,  10, 2,  5.2, ⑤④
 4, 8, ナムラバｰク,---,武豊  , 0.7, 52,*  2, -13, 1,  1.8, ③③, 4, 2,Ｅニシノホウギョク, 73,太宰啓, 0.5, 73,* 23, -29, 5, 14.8, ①①, 4,10,Ｉアドマイヤヘッド, 75,川田将, 0.6, 84,*  1,  12, 7, 31.2, ③③, 4,12,Ｍディアブラｰダ, 58,佐藤哲, 0.4, 74,   3,  11, 8, 14.7, ⑥⑥
 5, 1, イマジンブレイカｰ,---,後藤浩, 1.2, 44, -14,* -3, 6, 32.4, ⑦⑥, 5, 3,Ｉアラシヲヨブオトコ, 60,武豊  , 0.6, 74,  13, -10, 3,  4.6, ④⑤, 5, 1,Ｅマッシヴエンペラｰ, 77,太宰啓, 0.7, 85,  -5,  19, 9, 45.1, ⑥⑥, 5,10,Ｃシルクナデシコ, 74,藤岡康, 0.6, 74,  -3,* 16, 6, 11.3, ⑪⑨
 6, 3, アンジェラバロｰズ,---,幸英明, 1.5, 46,  -2, -17, 4,  9.8, ④④, 6, 8,Ｇフェリキタｰス, 66,高倉稜, 0.8, 72,   8,  -3, 8,177.7, ⑩⑩, 6, 9,Ｆノボリデュｰク, 77,石橋守, 0.8, 80,*  1,   8, 6, 29.9, ①①, 6, 1,Ｇマスタｰチアフル, 68,飯田祐, 0.7, 72,  -7,* 18,10, 63.5, ⑬⑮
 7, 4, セルリアンディンゴ,---,熊沢重, 1.9, 40, -16,  -7, 9,161.1, ⑧⑧, 7, 5,Ａタガノバッチグｰ, 77,後藤浩, 0.8, 72,  17, -18, 6, 21.1, ③③, 7, 7,Ｊシｰクエスト, 67,松田大, 0.9, 82,  -5,  16,10,186.2, ⑦⑦, 7, 3,Ｂクレムリンシチｰ, 74,福永祐, 0.7, 71,  -4,  14, 5, 10.2, ⑩⑪
 8, 9, ビハク,---,太宰啓, 3.2, 31, -23, -11, 8,113.2, ⑨⑨, 8, 4,Ｆラムタムタガｰ, 68,浜中俊, 1.5, 65,  18, -32, 7, 43.8, ②②, 8, 8,Ａミクロコスモス, 85,福永祐, 1.0, 84,  -9,* 22, 1,  2.0, ⑩⑩, 8, 9,Ｎラヴアンドサンクス, 56,酒井学, 0.7, 71,* 10,   1,12, 65.7, ③③
 9, 7, マウンテンパｰル,---,高倉稜, 3.5, 26, -12, -23, 7, 48.9, ⑥⑦, 9, 1,Ｈトｰワランマル, 60,松田大, 1.7, 63,  11, -21,10,295.1, ⑦⑦, 9, 2,Ｈノットアロｰン, 75,藤岡佑, 1.1, 81,  -6,  16, 8, 36.6, ⑧⑧, 9,14,Ｐチャｰルストン, 50,太宰啓, 0.9, 68,   6,   2,16,334.6, ④⑤
