10年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,朝日ﾁｬﾚﾝｼﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
"単勝:350円 複勝:09=200円 03=540円 02=2,310円 枠連:1,930円",,,,,,,,,,,,単勝:240円 複勝:15=120円 03=130円 05=300円 枠連:290円,,,,,,,,,,,,"単勝:150円 複勝:11=110円 08=1,410円 02=160円 枠連:3,260円",,,,,,,,,,,,単勝:150円 複勝:07=110円 08=130円 06=240円 枠連:0円,,,,,,,,,,,
"馬連:1,930円 ワイド:03-09=730円 02-09=3,500円 02-03=5,540円",,,,,,,,,,,,馬連:280円 ワイド:03-15=160円 05-15=530円 03-05=730円,,,,,,,,,,,,"馬連:7,730円 ワイド:08-11=1,970円 02-11=180円 02-08=4,670円",,,,,,,,,,,,馬連:230円 ワイド:07-08=140円 06-07=330円 06-08=600円,,,,,,,,,,,
"馬単:3,010円 3連複:34,020円 3連単:101,550円",,,,,,,,,,,,"馬単:520円 3連複:1,330円 3連単:4,080円",,,,,,,,,,,,"馬単:10,650円 3連複:10,070円 3連単:51,580円",,,,,,,,,,,,"馬単:310円 3連複:680円 3連単:1,570円",,,,,,,,,,,
■ 3R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 6R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,仲秋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, クエルクス,---,福永祐,, 44,*-33,*  7, 1,  1.7, ③③, 1, 9,Ａアデュラリア, 79,藤岡佑,, 75,* 12,   3, 1,  1.9, ②②, 1, 9,Ｆパパラチア, 73,小牧太,, 78,*  3,   8, 8, 48.6, ②②, 1, 6,Ｃナショナルヒｰロｰ, 71,藤岡佑,, 73,   9,*  0, 4,  6.3, ⑧⑥
 2, 7, ハギノハｰトフル,---,川田将, 0.0, 45,*-33,*  7, 2,  4.1, ②②, 2,12,Ｆニホンピロシュラブ, 71,酒井学, 0.0, 75,  10,   6, 5, 12.6, ④④, 2, 7,Ａドリｰムゼニス, 84,幸英明, 0.0, 80,   1,* 12, 2,  3.6, ⑤⑥, 2,11,Ｊエイシンフルハｰト, 61,酒井学, 0.3, 72,* 14, -10, 8, 46.6, ①①
 3, 6, ネオザフラッシュ,---,藤岡康, 0.1, 43,*-32,   4, 3,  4.1, ①①, 3, 7,Ｇミニｰバロｰズ, 71,幸英明, 0.2, 72,   8,   6, 7, 17.2, ⑤⑤, 3, 4,Ｂラインブラッド, 77,福永祐, 0.0, 80,  -1,* 13, 1,  2.5, ⑦⑦, 3,15,Ａダノンプリマドンナ, 76,福永祐, 0.5, 68,  10,  -6, 2,  3.5, ⑥⑤
 4, 1, メイショウフジッコ,---,松田大, 0.3, 41, -36,   6, 5, 19.2, ⑤⑥, 4, 1,Ｉピサノプリヴェ, 64,小牧太, 0.5, 67,   3,*  7, 8, 39.1, ⑧⑪, 4, 5,Ｉラヴインザダｰク, 67,北村友, 0.1, 77,*  5,   5, 5, 14.3, ①①, 4,14,Ｄカシノヘラクレス, 70,上野翔, 0.7, 67,   8,  -5,12,192.7, ⑩⑧
 5, 3, クリノダイヤモンド,---,幸英明, 0.4, 39, -36,   4, 4, 11.1, ④④, 5,11,Ｋアクアバンブｰ, 60,北村友, 0.7, 68,   6,   3,10, 84.5, ⑨⑦, 5, 2,Ｅドリｰムバレンチノ, 75,松山弘, 0.2, 76,   2,   8, 3,  4.2, ③④, 5, 4,Ｌオｰミフォレスト, 59,田島裕, 0.9, 64,   5,* -2, 7, 35.2, ⑪⑪
 6, 5, サンレイプレシャス,---,岩崎祐, 0.8, 34, -36,   0, 7, 64.7, ⑥⑦, 6, 2,Ｅクリスリリｰ, 72,中村将, 0.7, 66,   1,*  8, 9, 73.5, ⑪⑫, 6, 8,Ｃメイショウシオギリ, 76,難波剛, 0.4, 75,  -1,   9, 9, 50.7, ⑧⑧, 6, 8,Ｂノルマンディｰ, 72,川田将, 0.9, 66,  11, -11, 1,  2.7, ④④
 7, 2, タトゥｰン,---,松山弘, 1.7, 21, -36, -12, 6, 39.4, ⑦⑤, 7,10,Ｂチャｰムドリｰム, 73,浜中俊, 0.8, 64,  -2,*  9, 3,  6.4, ⑭⑬, 7, 3,Ｇアグネスヨジゲン, 73,川田将, 0.5, 73,   1,   5, 7, 20.8, ⑥⑤, 7, 5,Ｅホワイトルシアン, 68,国分恭, 1.0, 66,* 14, -14, 6, 31.5, ③③
