10年10月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,江戸川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,
"単勝:180円 複勝:03=120円 15=470円 01=260円 枠連:1,360円",,,,,,,,,,,,"単勝:950円 複勝:03=300円 08=150円 09=990円 枠連:1,340円",,,,,,,,,,,,"単勝:25,260円 複勝:16=3,980円 02=440円 12=110円 枠連:16,640円",,,,,,,,,,,,"単勝:2,930円 複勝:07=900円 14=240円 03=450円 枠連:1,020円",,,,,,,,,,,
"馬連:2,040円 ワイド:03-15=720円 01-03=410円 01-15=2,330円",,,,,,,,,,,,"馬連:1,450円 ワイド:03-08=540円 03-09=3,380円 08-09=1,870円",,,,,,,,,,,,"馬連:320,310円 ワイド:02-16=47,700円 12-16=8,050円 02-12=810円",,,,,,,,,,,,"馬連:9,900円 ワイド:07-14=3,600円 03-07=6,040円 03-14=1,500円",,,,,,,,,,,
"馬単:2,830円 3連複:6,480円 3連単:23,360円",,,,,,,,,,,,"馬単:3,770円 3連複:14,280円 3連単:76,490円",,,,,,,,,,,,"馬単:684,240円 3連複:121,680円 3連単:3,163,040円",,,,,,,,,,,,"馬単:22,400円 3連複:50,860円 3連単:358,410円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝1600m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■12R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,芙蓉ｽﾃｰｸｽ,,,,,,,,,,,,中山ｵｰﾀﾑﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂレップウ, 62,津村明,, 62,  -2,*  2, 4,  7.5,⑦⑥④, 1, 4,Ｃインザブラック, 75,吉田豊,, 76,*  1,   5, 5, 11.4,①①①, 1, 2,Ｄホエｰルキャプチャ, 54,松岡正,, 69,* -8,   9, 5, 11.1,①①①, 1, 2,Ａシルクフォｰチュン, 86,安藤勝,, 81,  -7,* 29, 1,  2.8, ⑮⑮
