12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:0),,,,,,,,,,,
"単勝:3,770円 複勝:04=850円 12=110円 14=270円 枠連:2,840円",,,,,,,,,,,,単勝:300円 複勝:06=110円 08=110円 11=190円 枠連:170円,,,,,,,,,,,,"単勝:340円 複勝:08=150円 09=300円 04=390円 枠連:2,130円",,,,,,,,,,,,"単勝:810円 複勝:01=300円 07=2,430円 10=1,460円 枠連:2,250円",,,,,,,,,,,
"馬連:3,910円 ワイド:04-12=1,520円 04-14=2,750円 12-14=420円",,,,,,,,,,,,馬連:180円 ワイド:06-08=120円 06-11=310円 08-11=290円,,,,,,,,,,,,"馬連:2,120円 ワイド:08-09=690円 04-08=540円 04-09=2,660円",,,,,,,,,,,,"馬連:35,990円 ワイド:01-07=9,190円 01-10=5,710円 07-10=32,480円",,,,,,,,,,,
"馬単:12,080円 3連複:5,890円 3連単:57,400円",,,,,,,,,,,,"馬単:460円 3連複:460円 3連単:1,940円",,,,,,,,,,,,"馬単:3,390円 3連複:11,710円 3連単:48,470円",,,,,,,,,,,,"馬単:62,100円 3連複:490,320円 3連単:3,047,070円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾘｶ賞,,,,,,,,,,,,御影ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｇルゴス, 49,松山弘,, 68,*  4,* -7, 7, 23.8, ①①, 1, 3,Ｂコルｰジャ, 76,川田将,, 73,  -1,* 10, 2,  4.0,⑫⑨⑥, 1, 1,Ｃマイネルマエストロ, 65,和田竜,, 63,* -8,  -2, 5, 17.9,①①①, 1,14,Ｅメイショウマシュウ, 85,藤田伸,, 90,  14,* 16, 3,  4.4, ⑨⑨
 2, 6,Ｉリオグランデ, 48,川田将, 0.4, 62,  -2,* -5, 3,  5.8, ⑦⑦, 2,14,Ｉエアラｰテル, 70,福永祐, 0.0, 72,   1,*  7, 4,  6.5,⑧⑦⑤, 2, 8,Ｆラストインパクト, 63,野元昭, 0.2, 62, -11,   1, 3,  5.9,④⑤⑤, 2, 4,Ｆスピルオｰバｰ, 85,秋山真, 0.7, 83,  13,  10, 9, 55.8, ⑩⑩
 3, 1,Ｎマッハジｰル, 43,熊沢重, 0.7, 58,  -4,* -6,14,117.3, ⑪⑨, 3,13,Ａミッキｰクリスエス, 78,デムｰ, 0.4, 66,  -2,*  8, 3,  4.2,⑪⑩⑫, 3, 2,Ｈリジェネレｰション, 61,川田将, 0.2, 66, -12,*  5, 1,  2.0,⑤⑧⑧, 3, 5,Ｌホクセツダンス, 80,浜中俊, 0.9, 84,  18,   4, 8, 31.7, ⑤⑤
