12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,
単勝:560円 複勝:12=190円 09=190円 01=430円 枠連:870円,,,,,,,,,,,,"単勝:530円 複勝:04=190円 03=190円 12=390円 枠連:1,210円",,,,,,,,,,,,"単勝:8,570円 複勝:03=2,090円 09=180円 02=230円 枠連:910円",,,,,,,,,,,,"単勝:350円 複勝:04=190円 07=1,170円 08=620円 枠連:3,700円",,,,,,,,,,,
"馬連:1,180円 ワイド:09-12=460円 01-12=1,290円 01-09=1,460円",,,,,,,,,,,,"馬連:1,390円 ワイド:03-04=500円 04-12=1,450円 03-12=1,190円",,,,,,,,,,,,"馬連:20,840円 ワイド:03-09=4,460円 02-03=5,800円 02-09=560円",,,,,,,,,,,,"馬連:12,640円 ワイド:04-07=3,670円 04-08=1,930円 07-08=8,940円",,,,,,,,,,,
"馬単:2,580円 3連複:5,290円 3連単:25,020円",,,,,,,,,,,,"馬単:2,800円 3連複:7,260円 3連単:29,840円",,,,,,,,,,,,"馬単:48,320円 3連複:36,970円 3連単:347,220円",,,,,,,,,,,,"馬単:14,650円 3連複:71,770円 3連単:328,820円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 6R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1300m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,六社特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,17,Ｄハニｰムｰナｰ, 46,横山典,, 50, -11,  -7, 2,  3.4, ⑦⑦, 1,13,Ｊドルモン, 65,柴田善,, 70,  -3,* 15,10, 33.7, ⑮⑮, 1, 4,Ｄサトノギャラント, 76,横山典,, 81,  -2,* 20, 1,  2.8, ⑨⑨, 1,15,Ｂサクラインザスカイ, 81,蛯名正,, 80,   4,  14, 2,  3.3, ⑤⑥
