12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,
"単勝:290円 複勝:04=190円 05=510円 09=3,350円 枠連:3,060円",,,,,,,,,,,,"単勝:530円 複勝:10=210円 08=440円 02=320円 枠連:3,590円",,,,,,,,,,,,単勝:650円 複勝:11=170円 07=110円 02=270円 枠連:530円,,,,,,,,,,,,単勝:230円 複勝:05=120円 06=180円 14=170円 枠連:810円,,,,,,,,,,,
"馬連:3,570円 ワイド:04-05=1,360円 04-09=8,110円 05-09=23,700円",,,,,,,,,,,,"馬連:3,380円 ワイド:08-10=1,080円 02-10=880円 02-08=1,630円",,,,,,,,,,,,"馬連:530円 ワイド:07-11=270円 02-11=1,130円 02-07=510円",,,,,,,,,,,,馬連:790円 ワイド:05-06=330円 05-14=300円 06-14=640円,,,,,,,,,,,
"馬単:4,600円 3連複:136,090円 3連単:373,390円",,,,,,,,,,,,"馬単:5,720円 3連複:9,380円 3連単:49,540円",,,,,,,,,,,,"馬単:1,510円 3連複:2,500円 3連単:12,490円",,,,,,,,,,,,"馬単:1,230円 3連複:1,430円 3連単:4,730円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,寒竹賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｏドラゴンフラッシュ, 31,蛯名正,, 60,*  1,*  3, 3,  5.2,①①①, 1, 7,Ｃシャラントレディ, 71,柴田善,, 73,   5,*  5, 1,  3.1, ⑦⑦, 1, 9,Ｄメイショウカドマツ, 65,中舘英,, 72,*  7,  -6, 5,  7.7,①①①, 1,13,Ａトランスワｰプ, 85,大野拓,, 82,* 11,   1, 2,  4.3,③②②
 2,13,Ｂモエレアンバサダｰ, 61,柴田善, 0.4, 59,*  0,   0, 4,  6.6,③③③, 2,10,Ａミシックトウショウ, 74,岩部純, 0.1, 74,* 10,  -1, 3,  7.1, ①①, 2, 8,Ｏジョングルｰル, 47,三浦皇, 0.4, 70,   1,   1, 1,  3.7,⑨⑨⑨, 2,10,Ｄイチブン, 79,柴田善, 0.5, 81,   4,*  9, 4,  6.6,⑨⑦⑥
 3,15,Ｃオメガインペリアル, 58,三浦皇, 0.6, 57,*  0,  -1, 1,  3.3,⑦⑥⑤, 3, 9,Ｄウネントリッヒ, 71,大野拓, 0.2, 70,   6,   1, 8, 20.7, ⑤③, 3, 6,Ｂセコンドピアット, 69,蛯名正, 0.5, 70,  -1,   4, 3,  5.7,⑫⑬⑫, 3,15,Ｉサトノエンペラｰ, 74,北村宏, 0.5, 79,   7,   4, 6,  7.2,②④③
