15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｳｪﾙｶﾑｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
17, 3,Ｑシゲルタイ, 32,横山和, 2.2, 34,* -7, -35,15,250.7, ①①,,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｃペルｰサ, 93,ルメｰ, 1.4, 78,  11,  -6,12, 66.3,⑪⑭⑧
18,15,Ｐフレンドロイヤル, 33,石橋脩, 4.3,  8,* -9, -61,16,396.9, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,18,14, イトウ,---,ミナリ, 4.4, 59,  13, -52, 8, 37.1,③③④
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:94 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,
"単勝:440円 複勝:07=170円 02=310円 05=150円 枠連:1,510円",,,,,,,,,,,,"単勝:570円 複勝:10=220円 03=1,280円 02=190円 枠連:1,030円",,,,,,,,,,,,"単勝:610円 複勝:09=180円 07=260円 13=160円 枠連:1,820円",,,,,,,,,,,,"単勝:920円 複勝:15=220円 06=380円 01=130円 枠連:6,230円",,,,,,,,,,,
"馬連:2,570円 ワイド:02-07=980円 05-07=400円 02-05=750円",,,,,,,,,,,,"馬連:23,060円 ワイド:03-10=4,990円 02-10=760円 02-03=3,720円",,,,,,,,,,,,"馬連:3,110円 ワイド:07-09=970円 09-13=430円 07-13=920円",,,,,,,,,,,,"馬連:10,160円 ワイド:06-15=1,960円 01-15=410円 01-06=890円",,,,,,,,,,,
"馬単:4,580円 3連複:2,770円 3連単:18,060円",,,,,,,,,,,,"馬単:35,960円 3連複:31,810円 3連単:210,510円",,,,,,,,,,,,"馬単:4,730円 3連複:3,610円 3連単:22,980円",,,,,,,,,,,,"馬単:18,510円 3連複:6,350円 3連単:53,920円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｴﾝﾀﾙ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄネイビｰブルｰ, 62,ムｰア,, 66, -10,* 10, 3,  5.8,④⑥⑥, 1,10,Ｋラストダンサｰ, 70,ムｰア,, 77,   9,   7, 1,  3.1, ④④, 1, 8,Ｌレアリスタ, 67,ムｰア,, 81,  12,*  1, 1,  2.8,⑨⑥⑥,,,,,,,,,,,,
 2, 1,Ｃキャプテンロブロイ, 62,ルメｰ, 0.0, 64,* -9,   7, 1,  2.0,③④③, 2,16,Ａアサクサスタｰズ, 76,ベリｰ, 0.2, 77,   5,* 13, 2,  3.8, ⑬⑬, 1, 4,Ｂポトマックリバｰ, 80,デムｰ,, 79,  13,  -2, 2,  5.1,⑥③③,,,,,,,,,,,,
 3, 5,Ｆステイブラビッシモ, 53,岩田康, 0.2, 65, -11,* 10, 5, 11.0,⑧⑦⑦, 3, 5,Ｍトップアドバンス, 67,横山和, 0.7, 75,   2,* 12, 8, 26.5, ⑮⑮, 3, 1,Ｄコスモグレｰスフル, 78,松岡正, 0.1, 80,* 16, -11, 9, 28.7,②②②,,,,,,,,,,,,
