15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,銀嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:重(指数:6),,,,,,,,,,,
"単勝:370円 複勝:13=160円 06=230円 03=230円 枠連:1,030円",,,,,,,,,,,,"単勝:2,310円 複勝:10=530円 07=600円 02=150円 枠連:4,090円",,,,,,,,,,,,"単勝:1,920円 複勝:06=390円 05=130円 09=400円 枠連:1,650円",,,,,,,,,,,,単勝:210円 複勝:15=120円 14=280円 18=260円 枠連:920円,,,,,,,,,,,
"馬連:1,540円 ワイド:06-13=560円 03-13=490円 03-06=890円",,,,,,,,,,,,"馬連:25,440円 ワイド:07-10=4,770円 02-10=1,200円 02-07=1,540円",,,,,,,,,,,,"馬連:1,590円 ワイド:05-06=690円 06-09=2,570円 05-09=900円",,,,,,,,,,,,"馬連:1,460円 ワイド:14-15=580円 15-18=540円 14-18=1,970円",,,,,,,,,,,
"馬単:2,370円 3連複:3,320円 3連単:13,990円",,,,,,,,,,,,"馬単:61,400円 3連複:17,950円 3連単:195,840円",,,,,,,,,,,,"馬単:4,510円 3連複:8,170円 3連単:51,320円",,,,,,,,,,,,"馬単:2,150円 3連複:3,990円 3連単:14,570円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,百日草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｉウインシンフォニア, 38,松岡正,, 61,*  8,  -6, 2,  5.1,①①①, 1, 5,Ｅナンゴクロマンス, 69,蛯名正,, 73,  -1,* 12, 1,  2.3, ⑭⑬, 1, 4,Ａプランスシャルマン, 69,デムｰ,, 69,*-10,  11, 1,  1.3,③②②, 1, 6,Ｂトウカイビジョン, 76,田辺裕,, 80,  -1,* 20, 1,  2.7, ⑩⑨
 2, 5,Ｆネイビｰブルｰ, 45,藤岡康, 0.0, 60,   5,*  0, 5, 12.4,⑤⑤④, 2,13,Ｊアミｰキティア, 65,藤岡康, 0.1, 72,   3,*  6, 3,  7.6, ⑥⑥, 2, 6,Ｄコスモプロテア, 61,柴田大, 0.1, 73, -12,* 14, 4, 15.1,⑦⑦⑥, 2, 5,Ｇドナリサ, 72,石川裕, 0.5, 77,  -1,* 17, 9, 20.4, ⑪⑪
 3,11,Ｄテオドｰル, 46,デムｰ, 0.0, 59,   4,*  4, 1,  1.7,⑩⑨⑧, 3, 7,Ｃパンプルムｰス, 70,江田照, 0.8, 67,   4,  -1, 9, 18.1, ⑤④, 3, 3,Ｆゲッカコウ, 48,松岡正, 0.5, 67, -12,   7, 6, 34.0,②③④, 3,10,Ｅアキノアッパｰ, 75,柴田善, 0.6, 74,*  4,   9, 6, 12.9, ④④
 4, 9,Ｅカリスマフォンテン, 45,田辺裕, 0.5, 54,   6,  -7, 7, 32.6,⑦⑦⑥, 4, 3,Ｉリベルタンゴ, 66,横山典, 0.8, 66,*  6,  -4, 5, 12.4, ②②, 4, 2,Ｂシャインレッド, 62,吉田隼, 0.7, 62, -12,   5, 3,  6.6,⑥⑤⑤, 4, 9,Ｊチェリｰサマｰ, 72,松岡正, 0.6, 74,*  5,   7, 5, 11.7, ②③
 5, 7,Ｃマイネルツィｰル, 51,柴田大, 0.9, 52,   6, -13, 3,  6.3,④③⑤, 5, 8,Ｆミュｰル, 67,北村宏, 0.9, 66,   0,   4, 7, 14.7, ⑫⑪, 5, 5,Ｃマコトルｰメン, 62,横山典, 0.7, 61,* -9,   0, 2,  6.0,①①①, 5, 4,Ａナムライチバンボシ, 79,デムｰ, 0.6, 72,*  4,   8, 2,  5.0, ③②
 6,10,Ｇアメンボ, 41,吉田豊, 1.5, 47,   3, -14,10,175.0,⑪⑩⑩, 6,12,Ａフロｰラルダンサｰ, 74,内田博, 1.0, 66,*  8,  -8, 6, 13.8, ①①, 6, 7,Ｇコスモヴェッキオ, 46,内田博, 1.0, 59,*-10,  -2, 5, 16.8,④④③, 6,12,Ｃシュウギン, 76,吉田隼, 0.6, 75,   2,  12, 8, 19.7, ⑤⑥
