15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｑトミケンフィアブル, 56,井上敏, 2.5, 52,  11, -32,18,306.3, ⑫⑬,17,10,Ｎミナレット, 79,江田照, 2.3, 61,* 17, -38,13, 54.8,⑥③③
,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｒラタナキリ, 55,松岡正, 2.8, 51,  18, -47,16,173.5, ⑥⑥,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:780円 複勝:04=190円 10=160円 13=120円 枠連:1,870円",,,,,,,,,,,,単勝:180円 複勝:03=110円 11=120円 05=440円 枠連:250円,,,,,,,,,,,,単勝:230円 複勝:12=140円 17=180円 05=240円 枠連:570円,,,,,,,,,,,,"単勝:3,200円 複勝:15=770円 04=200円 17=290円 枠連:610円",,,,,,,,,,,
"馬連:2,360円 ワイド:04-10=610円 04-13=440円 10-13=310円",,,,,,,,,,,,"馬連:270円 ワイド:03-11=160円 03-05=1,030円 05-11=1,340円",,,,,,,,,,,,"馬連:740円 ワイド:12-17=340円 05-12=750円 05-17=1,190円",,,,,,,,,,,,"馬連:6,590円 ワイド:04-15=2,240円 15-17=4,540円 04-17=1,060円",,,,,,,,,,,
"馬単:4,710円 3連複:1,910円 3連単:16,670円",,,,,,,,,,,,"馬単:420円 3連複:2,490円 3連単:5,810円",,,,,,,,,,,,"馬単:1,050円 3連複:3,210円 3連単:7,990円",,,,,,,,,,,,"馬単:16,180円 3連複:20,460円 3連単:163,830円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■12R  ダ1300m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾟﾗﾀﾅｽ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｉクインズサン, 36,吉田豊,, 64, -16,*  5, 6, 18.1, ⑧⑧, 1, 3,Ｄステｰジジャンプ, 73,柴山雄,, 74,* 12,*  0, 7, 23.3,②②②, 1, 6,Ｈエネスク, 56,デムｰ,, 58,   6,* -5, 3,  7.2, ⑩⑨, 1, 2,Ａニットウスバル, 80,柴田善,, 75,   2,   9, 2,  3.1, ⑦⑥
