15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:6),,,,,,,,,,,
単勝:220円 複勝:15=120円 16=150円 02=220円 枠連:550円,,,,,,,,,,,,"単勝:220円 複勝:08=120円 07=540円 03=380円 枠連:1,830円",,,,,,,,,,,,"単勝:2,050円 複勝:03=590円 13=2,580円 10=910円 枠連:2,330円",,,,,,,,,,,,"単勝:1,330円 複勝:12=350円 04=200円 13=240円 枠連:1,430円",,,,,,,,,,,
馬連:520円 ワイド:15-16=260円 02-15=430円 02-16=720円,,,,,,,,,,,,"馬連:3,260円 ワイド:07-08=1,050円 03-08=710円 03-07=3,750円",,,,,,,,,,,,"馬連:69,690円 ワイド:03-13=27,510円 03-10=8,660円 10-13=36,770円",,,,,,,,,,,,"馬連:3,390円 ワイド:04-12=1,600円 12-13=1,720円 04-13=1,150円",,,,,,,,,,,
"馬単:890円 3連複:1,560円 3連単:4,940円",,,,,,,,,,,,"馬単:4,530円 3連複:9,650円 3連単:36,350円",,,,,,,,,,,,"馬単:132,520円 3連複:610,180円 3連単:4,238,600円",,,,,,,,,,,,"馬単:7,090円 3連複:9,740円 3連単:59,500円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  ダ1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,黄梅賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｎワイドリｰザワン, 37,横山和,, 70,   2,*  5, 5,  9.1,⑨⑨⑨, 1, 1,Ｂノｰスランドボｰイ, 72,勝浦正,, 70,   1,* 15, 6, 10.4,⑦⑦⑦, 1, 8,Ｃダイトウキョウ, 67,戸崎圭,, 65,  -3,  12, 2,  4.4,③④④, 1, 4,Ｂデルマヌラリヒョン, 81,田辺裕,, 74,  -3,* 13, 3,  5.4, ④③
