15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:94 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
単勝:480円 複勝:08=220円 09=140円 15=360円 枠連:430円,,,,,,,,,,,,"単勝:500円 複勝:02=190円 03=160円 07=200円 枠連:1,090円",,,,,,,,,,,,単勝:400円 複勝:07=130円 04=120円 08=150円 枠連:260円,,,,,,,,,,,,"単勝:440円 複勝:02=180円 04=610円 06=490円 枠連:3,170円",,,,,,,,,,,
"馬連:1,560円 ワイド:08-09=750円 08-15=1,900円 09-15=980円",,,,,,,,,,,,"馬連:1,690円 ワイド:02-03=660円 02-07=780円 03-07=590円",,,,,,,,,,,,馬連:500円 ワイド:04-07=230円 07-08=270円 04-08=290円,,,,,,,,,,,,"馬連:5,550円 ワイド:02-04=1,650円 02-06=1,520円 04-06=4,280円",,,,,,,,,,,
"馬単:3,300円 3連複:7,570円 3連単:35,170円",,,,,,,,,,,,"馬単:3,090円 3連複:3,610円 3連単:19,780円",,,,,,,,,,,,"馬単:1,170円 3連複:680円 3連単:3,320円",,,,,,,,,,,,"馬単:9,090円 3連複:23,020円 3連単:106,170円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾌﾗﾝ賞,,,,,,,,,,,,内房ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａメイショウキシドウ, 65,岩田康,, 60,*  2,*  3, 3,  5.6,①①①, 1,13,Ｃベルプラｰジュ, 75,吉田豊,, 75,   5,* 11, 4,  6.0,⑨⑧⑦, 1, 3,Ａクｰドラパン, 60,横山典,, 60,  -2,*  2, 1,  2.8,③③③, 1, 7,Ａモンドクラッセ, 88,三浦皇,, 85,* 13,*  7, 3,  5.5,①①①
