15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,
"単勝:230円 複勝:10=130円 08=290円 13=380円 枠連:1,270円",,,,,,,,,,,,"単勝:1,810円 複勝:16=470円 01=890円 14=310円 枠連:2,690円",,,,,,,,,,,,単勝:470円 複勝:09=170円 06=140円 01=260円 枠連:680円,,,,,,,,,,,,単勝:540円 複勝:12=190円 11=130円 06=180円 枠連:810円,,,,,,,,,,,
"馬連:1,420円 ワイド:08-10=560円 10-13=770円 08-13=2,050円",,,,,,,,,,,,"馬連:38,130円 ワイド:01-16=6,770円 14-16=1,940円 01-14=4,370円",,,,,,,,,,,,馬連:900円 ワイド:06-09=360円 01-09=880円 01-06=700円,,,,,,,,,,,,馬連:730円 ワイド:11-12=300円 06-12=720円 06-11=410円,,,,,,,,,,,
"馬単:1,940円 3連複:5,370円 3連単:16,470円",,,,,,,,,,,,"馬単:81,010円 3連複:60,150円 3連単:712,100円",,,,,,,,,,,,"馬単:1,800円 3連複:2,700円 3連単:11,190円",,,,,,,,,,,,"馬単:1,710円 3連複:1,740円 3連単:8,750円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝2000m 2 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃマヤノピナクル, 59,三浦皇,, 69,   5,* -3, 2,  5.8,⑤⑤④, 1, 7,Ａキャプテンシップ, 79,戸崎圭,, 77,* 14,  -2, 1,  2.0, ①①, 1, 6,Ｄハｰトレｰ, 72,ボウマ,, 82,  -2,* 21, 3,  7.4,⑨⑨⑨,,,,,,,,,,,,
